Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Fernando AlonsoALO,Renault,67,1:30:21.892,10
2,4,Robert KubicaKUB,Sauber BMW,67,+5.283s,8
3,1,Kimi RäikkönenRAI,Ferrari,67,+6.400s,6
4,6,Nelson PiquetPIQ,Renault,67,+20.570s,5
5,11,Jarno TrulliTRU,Toyota,67,+23.767s,4
6,15,Sebastian VettelVET,STR Ferrari,67,+39.207s,3
7,2,Felipe MassaMAS,Ferrari,67,+46.158s,2
8,10,Mark WebberWEB,Red Bull Renault,67,+50.811s,1
9,3,Nick HeidfeldHEI,Sauber BMW,67,+54.120s,0
10,14,Sebastien BourdaisBOU,STR Ferrari,67,+59.085s,0
11,7,Nico RosbergROS,Williams Toyota,67,+62.096s,0
12,22,Lewis HamiltonHAM,McLaren Mercedes,67,+78.900s,0
13,17,Rubens BarrichelloBAR,Honda,66,+1 lap,0
14,16,Jenson ButtonBUT,Honda,66,+1 lap,0
15,8,Kazuki NakajimaNAK,Williams Toyota,66,+1 lap,0
NC,21,Giancarlo FisichellaFIS,Force India Ferrari,21,DNF,0
NC,23,Heikki KovalainenKOV,McLaren Mercedes,16,DNF,0
NC,20,Adrian SutilSUT,Force India Ferrari,8,DNF,0
NC,12,Timo GlockGLO,Toyota,6,DNF,0
NC,9,David CoulthardCOU,Red Bull Renault,0,DNF,0
