Pos,No,Driver,Car,Time
1,9,Mika HakkinenHAK,McLaren Mercedes,1:16.602
2,3,Jacques VilleneuveVIL,Williams Renault,1:16.691
3,4,Heinz-Harald FrentzenFRE,Williams Renault,1:16.741
4,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:17.289
5,5,Michael SchumacherMSC,Ferrari,1:17.385
6,10,David CoulthardCOU,McLaren Mercedes,1:17.387
7,8,Gerhard BergerBER,Benetton Renault,1:17.587
8,11,Ralf SchumacherRSC,Jordan Peugeot,1:17.595
9,22,Rubens BarrichelloBAR,Stewart Ford,1:17.614
10,7,Jean AlesiALE,Benetton Renault,1:17.620
11,14,Olivier PanisPAN,Prost Mugen Honda,1:17.650
12,23,Jan MagnussenMAG,Stewart Ford,1:17.722
13,1,Damon HillHIL,Arrows Yamaha,1:17.795
14,6,Eddie IrvineIRV,Ferrari,1:17.855
15,2,Pedro DinizDIN,Arrows Yamaha,1:18.128
16,16,Johnny HerbertHER,Sauber Petronas,1:18.303
17,15,Shinji NakanoNAK,Prost Mugen Honda,1:18.699
18,21,Tarso MarquesMAR,Minardi Hart,1:19.347
19,17,Gianni MorbidelliMOR,Sauber Petronas,1:19.490
20,19,Mika SaloSAL,Tyrrell Ford,1:19.526
21,18,Jos VerstappenVER,Tyrrell Ford,1:19.531
22,20,Ukyo KatayamaKAT,Minardi Hart,1:20.615
