Pos,No,Driver,Car,Time
1,3,Jacques VilleneuveVIL,Williams Renault,1:10.304
2,9,Mika HakkinenHAK,McLaren Mercedes,1:10.398
3,14,Jarno TrulliTRU,Prost Mugen Honda,1:10.511
4,4,Heinz-Harald FrentzenFRE,Williams Renault,1:10.670
5,22,Rubens BarrichelloBAR,Stewart Ford,1:10.700
6,23,Jan MagnussenMAG,Stewart Ford,1:10.893
7,1,Damon HillHIL,Arrows Yamaha,1:11.025
8,6,Eddie IrvineIRV,Ferrari,1:11.051
9,5,Michael SchumacherMSC,Ferrari,1:11.056
10,10,David CoulthardCOU,McLaren Mercedes,1:11.076
11,11,Ralf SchumacherRSC,Jordan Peugeot,1:11.186
12,16,Johnny HerbertHER,Sauber Petronas,1:11.210
13,17,Gianni MorbidelliMOR,Sauber Petronas,1:11.261
14,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:11.299
15,7,Jean AlesiALE,Benetton Renault,1:11.382
16,15,Shinji NakanoNAK,Prost Mugen Honda,1:11.596
17,2,Pedro DinizDIN,Arrows Yamaha,1:11.615
18,8,Gerhard BergerBER,Benetton Renault,1:11.620
19,20,Ukyo KatayamaKAT,Minardi Hart,1:12.036
20,18,Jos VerstappenVER,Tyrrell Ford,1:12.230
21,19,Mika SaloSAL,Tyrrell Ford,1:14.246
