Pos,No,Driver,Car,Time
1,3,Jacques VilleneuveVIL,Williams Renault,1:21.072
2,5,Michael SchumacherMSC,Ferrari,1:21.072
3,4,Heinz-Harald FrentzenFRE,Williams Renault,1:21.072
4,1,Damon HillHIL,Arrows Yamaha,1:21.130
5,9,Mika HakkinenHAK,McLaren Mercedes,1:21.369
6,10,David CoulthardCOU,McLaren Mercedes,1:21.476
7,6,Eddie IrvineIRV,Ferrari,1:21.610
8,8,Gerhard BergerBER,Benetton Renault,1:21.656
9,14,Olivier PanisPAN,Prost Mugen Honda,1:21.735
10,7,Jean AlesiALE,Benetton Renault,1:22.011
11,23,Jan MagnussenMAG,Stewart Ford,1:22.167
12,22,Rubens BarrichelloBAR,Stewart Ford,1:22.222
13,2,Pedro DinizDIN,Arrows Yamaha,1:22.234
14,16,Johnny HerbertHER,Sauber Petronas,1:22.263
15,15,Shinji NakanoNAK,Prost Mugen Honda,1:22.351
16,11,Ralf SchumacherRSC,Jordan Peugeot,1:22.740
17,12,Giancarlo FisichellaFIS,Jordan Peugeot,1:22.804
18,17,Norberto FontanaFON,Sauber Petronas,1:23.281
19,20,Ukyo KatayamaKAT,Minardi Hart,1:23.409
20,21,Tarso MarquesMAR,Minardi Hart,1:23.854
21,19,Mika SaloSAL,Tyrrell Ford,1:24.222
22,18,Jos VerstappenVER,Tyrrell Ford,1:24.301
