Pos,No,Driver,Car,Laps,Time/retired,Pts
1,12,Ayrton SennaSEN,Lotus Renault,63,1:51:12.847,9
2,26,Jacques LaffiteLAF,Ligier Renault,63,+31.017s,6
3,1,Alain ProstPRO,McLaren TAG,63,+31.824s,4
4,27,Michele AlboretoALB,Ferrari,63,+90.936s,3
5,5,Nigel MansellMAN,Williams Honda,62,+1 lap,2
6,7,Riccardo PatresePAT,Brabham BMW,62,+1 lap,1
7,11,Johnny DumfriesDUM,Lotus Renault,61,+2 laps,0
8,14,Jonathan  PalmerPAL,Zakspeed,61,+2 laps,0
9,4,Philippe StreiffSTR,Tyrrell Renault,61,+2 laps,0
10,8,Derek WarwickWAR,Brabham BMW,60,+3 laps,0
NC,17,Christian DannerDAN,Arrows BMW,51,DNF,0
NC,25,Rene ArnouxARN,Ligier Renault,46,DNF,0
NC,18,Thierry BoutsenBOU,Arrows BMW,44,DNF,0
NC,23,Andrea de CesarisDEC,Minardi Motori Moderni,43,DNF,0
NC,6,Nelson PiquetPIQ,Williams Honda,41,DNF,0
NC,28,Stefan JohanssonJOH,Ferrari,40,DNF,0
NC,19,Teo FabiFAB,Benetton BMW,38,DNF,0
NC,16,Eddie  CheeverCHE,Lola Ford,37,DNF,0
NC,15,Alan  JonesJON,Lola Ford,33,DNF,0
NC,22,Allen BergBER,Osella Alfa Romeo,28,DNF,0
NC,3,Martin BrundleBRU,Tyrrell Renault,15,DNF,0
NC,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,14,DNF,0
NC,2,Keke RosbergROS,McLaren TAG,12,DNF,0
NC,20,Gerhard BergerBER,Benetton BMW,8,DNF,0
NC,24,Alessandro NanniniNAN,Minardi Motori Moderni,3,DNF,0
NC,29,Huub RothengatterROT,Zakspeed,,DNS,0
