Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,16,Johnny HerbertHER,Sauber Petronas,16,14:22:08,28.606,28.606
1,7,Jean AlesiALE,Benetton Renault,20,14:27:21,30.013,30.013
1,8,Gerhard BergerBER,Benetton Renault,21,14:28:57,29.513,29.513
1,19,Mika SaloSAL,Tyrrell Ford,22,14:30:40,30.953,30.953
1,17,Gianni MorbidelliMOR,Sauber Petronas,23,14:31:52,28.675,28.675
1,18,Jos VerstappenVER,Tyrrell Ford,24,14:33:31,28.203,28.203
1,9,Mika HakkinenHAK,McLaren Mercedes,28,14:37:31,27.598,27.598
1,3,Jacques VilleneuveVIL,Williams Renault,28,14:37:46,28.829,28.829
1,4,Heinz-Harald FrentzenFRE,Williams Renault,30,14:41:12,27.760,27.760
1,10,David CoulthardCOU,McLaren Mercedes,31,14:41:46,26.197,26.197
1,1,Damon HillHIL,Arrows Yamaha,36,14:49:23,56.103,56.103
1,22,Rubens BarrichelloBAR,Stewart Ford,37,14:50:23,30.898,30.898
1,23,Jan MagnussenMAG,Stewart Ford,39,14:53:29,32.656,32.656
1,2,Pedro DinizDIN,Arrows Yamaha,39,14:53:32,30.522,30.522
1,14,Olivier PanisPAN,Prost Mugen Honda,40,14:54:55,30.440,30.440
2,17,Gianni MorbidelliMOR,Sauber Petronas,40,14:55:21,52.135,1:20.810
2,18,Jos VerstappenVER,Tyrrell Ford,40,14:56:00,31.608,59.811
2,16,Johnny HerbertHER,Sauber Petronas,42,14:57:51,27.929,56.535
2,19,Mika SaloSAL,Tyrrell Ford,42,14:58:35,28.916,59.869
2,7,Jean AlesiALE,Benetton Renault,44,15:00:17,28.955,58.968
2,8,Gerhard BergerBER,Benetton Renault,45,15:01:42,28.461,57.974
2,4,Heinz-Harald FrentzenFRE,Williams Renault,47,15:04:22,28.740,56.500
2,3,Jacques VilleneuveVIL,Williams Renault,49,15:06:27,28.165,56.994
