Pos,No,Driver,Car,Lap,Time
1,12,Ayrton SennaSEN,Lotus Renault,51,1:45.612
2,6,Keke RosbergROS,Williams Honda,58,1:47.311
3,27,Michele AlboretoALB,Ferrari,43,1:47.518
4,11,Elio de AngelisDEA,Lotus Renault,43,1:47.572
5,28,Stefan JohanssonJOH,Ferrari,56,1:47.797
6,23,Eddie  CheeverCHE,Alfa Romeo,33,1:47.916
7,7,Nelson PiquetPIQ,Brabham BMW,40,1:48.045
8,5,Nigel MansellMAN,Williams Honda,6,1:48.241
9,18,Thierry BoutsenBOU,Arrows BMW,6,1:48.554
10,4,Stefan BellofBEL,Tyrrell Renault,12,1:48.681
11,26,Jacques LaffiteLAF,Ligier Renault,6,1:48.702
12,2,Alain ProstPRO,McLaren TAG,8,1:49.001
13,3,Martin BrundleBRU,Tyrrell Renault,15,1:49.073
14,16,Derek WarwickWAR,Renault,4,1:49.485
15,1,Niki LaudaLAU,McLaren TAG,6,1:49.489
16,25,Andrea de CesarisDEC,Ligier Renault,57,1:49.603
17,15,Patrick TambayTAM,Renault,6,1:49.931
18,8,Marc SurerSUR,Brabham BMW,5,1:49.998
19,17,Gerhard BergerBER,Arrows BMW,21,1:50.576
20,22,Riccardo PatresePAT,Alfa Romeo,6,1:50.729
21,19,Teo FabiFAB,Toleman Hart,3,1:51.211
22,10,Philippe AlliotALL,RAM Hart,6,1:53.752
23,29,Pierluigi MartiniMAR,Minardi Ford,7,1:55.446
24,9,Manfred WinkelhockWIN,RAM Hart,2,1:55.649
