Pos,No,Driver,Car,Lap,Time
1,27,Michele AlboretoALB,Ferrari,29,1:30.961
2,28,Stefan JohanssonJOH,Ferrari,56,1:31.017
3,11,Elio de AngelisDEA,Lotus Renault,55,1:31.411
4,7,Nelson PiquetPIQ,Brabham BMW,50,1:31.424
5,12,Ayrton SennaSEN,Lotus Renault,37,1:31.549
6,1,Niki LaudaLAU,McLaren TAG,25,1:32.198
7,18,Thierry BoutsenBOU,Arrows BMW,47,1:33.448
8,15,Patrick TambayTAM,Renault,55,1:33.514
9,16,Derek WarwickWAR,Renault,45,1:33.702
10,5,Nigel MansellMAN,Williams Honda,33,1:33.891
11,6,Keke RosbergROS,Williams Honda,20,1:34.084
12,23,Eddie  CheeverCHE,Alfa Romeo,34,1:34.128
13,10,Philippe AlliotALL,RAM Hart,20,1:35.013
14,26,Jacques LaffiteLAF,Ligier Renault,20,1:35.245
15,25,Andrea de CesarisDEC,Ligier Renault,8,1:35.856
16,17,Gerhard BergerBER,Arrows BMW,3,1:36.239
17,22,Riccardo PatresePAT,Alfa Romeo,3,1:36.422
18,9,Manfred WinkelhockWIN,RAM Hart,8,1:36.708
19,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,26,1:36.858
20,3,Martin BrundleBRU,Tyrrell Renault,51,1:37.887
21,29,Pierluigi MartiniMAR,Minardi Ford,14,1:38.203
22,4,Stefan BellofBEL,Tyrrell Renault,3,1:38.437
23,8,Francois HesnaultHES,Brabham BMW,3,1:38.906
24,21,Mauro BaldiBAL,Spirit Hart,4,1:39.686
