Pos,No,Driver,Car,Lap,Time
1,12,Ayrton SennaSEN,Lotus Renault,45,1:27.445
2,6,Keke RosbergROS,Williams Honda,51,1:27.611
3,23,Eddie  CheeverCHE,Alfa Romeo,64,1:28.481
4,27,Michele AlboretoALB,Ferrari,28,1:28.637
5,28,Stefan JohanssonJOH,Ferrari,44,1:28.651
6,2,Alain ProstPRO,McLaren TAG,64,1:28.755
7,15,Patrick TambayTAM,Renault,46,1:28.863
8,11,Elio de AngelisDEA,Lotus Renault,38,1:29.156
9,5,Nigel MansellMAN,Williams Honda,50,1:29.331
10,25,Andrea de CesarisDEC,Ligier Renault,45,1:30.070
11,26,Jacques LaffiteLAF,Ligier Renault,54,1:30.324
12,1,Niki LaudaLAU,McLaren TAG,29,1:30.433
13,16,Derek WarwickWAR,Renault,22,1:31.367
14,18,Thierry BoutsenBOU,Arrows BMW,6,1:31.688
15,17,Gerhard BergerBER,Arrows BMW,15,1:31.735
16,22,Riccardo PatresePAT,Alfa Romeo,24,1:31.978
17,8,Marc SurerSUR,Brabham BMW,40,1:32.286
18,10,Philippe AlliotALL,RAM Hart,25,1:32.325
19,3,Martin BrundleBRU,Tyrrell Renault,55,1:32.485
20,4,Stefan BellofBEL,Tyrrell Renault,56,1:33.085
21,9,Manfred WinkelhockWIN,RAM Hart,4,1:33.690
22,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,5,1:35.136
23,19,Teo FabiFAB,Toleman Hart,2,1:35.539
24,29,Pierluigi MartiniMAR,Minardi Ford,7,1:36.757
