Pos,No,Driver,Car,Lap,Time
1,27,Michele AlboretoALB,Ferrari,60,1:22.637
2,2,Alain ProstPRO,McLaren TAG,66,1:23.898
3,11,Elio de AngelisDEA,Lotus Renault,47,1:24.434
4,25,Andrea de CesarisDEC,Ligier Renault,58,1:24.554
5,6,Keke RosbergROS,Williams Honda,62,1:24.617
6,5,Nigel MansellMAN,Williams Honda,59,1:24.673
7,26,Jacques LaffiteLAF,Ligier Renault,51,1:24.788
8,12,Ayrton SennaSEN,Lotus Renault,7,1:24.803
9,16,Derek WarwickWAR,Renault,42,1:25.305
10,18,Thierry BoutsenBOU,Arrows BMW,43,1:25.631
11,1,Niki LaudaLAU,McLaren TAG,16,1:25.842
12,3,Martin BrundleBRU,Tyrrell Renault,57,1:26.131
13,23,Eddie  CheeverCHE,Alfa Romeo,10,1:26.548
14,30,Jonathan  PalmerPAL,Zakspeed,57,1:26.653
15,19,Teo FabiFAB,Toleman Hart,9,1:26.717
16,7,Nelson PiquetPIQ,Brabham BMW,5,1:27.124
17,22,Riccardo PatresePAT,Alfa Romeo,6,1:27.723
18,28,Stefan JohanssonJOH,Ferrari,1,2:31.095
