Pos,No,Driver,Car,Lap,Time
1,6,Keke RosbergROS,Williams Honda,57,1:23.758
2,12,Ayrton SennaSEN,Lotus Renault,37,1:24.140
3,28,Stefan JohanssonJOH,Ferrari,74,1:24.337
4,1,Niki LaudaLAU,McLaren TAG,54,1:24.498
5,27,Michele AlboretoALB,Ferrari,57,1:24.642
6,25,Philippe StreiffSTR,Ligier Renault,62,1:25.032
7,2,Alain ProstPRO,McLaren TAG,26,1:25.388
8,26,Jacques LaffiteLAF,Ligier Renault,41,1:25.469
9,8,Marc SurerSUR,Brabham BMW,24,1:25.751
10,17,Gerhard BergerBER,Arrows BMW,74,1:26.216
11,16,Derek WarwickWAR,Renault,56,1:26.313
12,4,Ivan CapelliCAP,Tyrrell Renault,47,1:26.497
13,18,Thierry BoutsenBOU,Arrows BMW,14,1:26.668
14,15,Patrick TambayTAM,Renault,20,1:26.819
15,7,Nelson PiquetPIQ,Brabham BMW,8,1:27.155
16,3,Martin BrundleBRU,Tyrrell Renault,25,1:27.223
17,33,Alan  JonesJON,Lola Hart,6,1:27.504
18,23,Eddie  CheeverCHE,Alfa Romeo,5,1:27.744
19,29,Pierluigi MartiniMAR,Minardi Ford,52,1:28.366
20,19,Teo FabiFAB,Toleman Hart,30,1:28.535
21,22,Riccardo PatresePAT,Alfa Romeo,8,1:28.675
22,20,Piercarlo GhinzaniGHI,Toleman Hart,6,1:28.809
23,24,Huub RothengatterROT,Osella Alfa Romeo,52,1:28.942
24,5,Nigel MansellMAN,Williams Honda,1,2:23.614
