Pos,No,Driver,Car,Lap,Time
1,2,Alain ProstPRO,McLaren TAG,38,2:01.730
2,8,Marc SurerSUR,Brabham BMW,42,2:02.266
3,7,Nelson PiquetPIQ,Brabham BMW,35,2:02.655
4,6,Keke RosbergROS,Williams Honda,40,2:03.363
5,5,Nigel MansellMAN,Williams Honda,37,2:03.479
6,12,Ayrton SennaSEN,Lotus Renault,40,2:03.700
7,17,Gerhard BergerBER,Arrows BMW,41,2:04.142
8,25,Philippe StreiffSTR,Ligier Renault,38,2:04.685
9,26,Jacques LaffiteLAF,Ligier Renault,35,2:04.835
10,19,Teo FabiFAB,Toleman Hart,18,2:06.350
11,3,Martin BrundleBRU,Tyrrell Renault,37,2:06.557
12,23,Eddie  CheeverCHE,Alfa Romeo,20,2:06.658
13,16,Derek WarwickWAR,Renault,20,2:06.697
14,18,Thierry BoutsenBOU,Arrows BMW,30,2:07.488
15,15,Patrick TambayTAM,Renault,20,2:07.582
16,22,Riccardo PatresePAT,Alfa Romeo,18,2:08.113
17,11,Elio de AngelisDEA,Lotus Renault,16,2:09.675
18,30,Christian DannerDAN,Zakspeed,16,2:11.835
19,29,Pierluigi MartiniMAR,Minardi Ford,38,2:15.557
20,24,Huub RothengatterROT,Osella Alfa Romeo,32,2:19.005
21,9,Philippe AlliotALL,RAM Hart,7,2:22.744
22,28,Stefan JohanssonJOH,Ferrari,3,2:24.045
23,20,Piercarlo GhinzaniGHI,Toleman Hart,3,2:29.896
24,27,Michele AlboretoALB,Ferrari,3,2:30.110
