Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Honda,38,1:28.283
2,6,Keke RosbergROS,Williams Honda,39,1:28.421
3,2,Alain ProstPRO,McLaren TAG,27,1:29.714
4,1,Niki LaudaLAU,McLaren TAG,30,1:29.998
5,27,Michele AlboretoALB,Ferrari,45,1:30.163
6,7,Nelson PiquetPIQ,Brabham BMW,36,1:30.436
7,28,Stefan JohanssonJOH,Ferrari,48,1:30.795
8,8,Marc SurerSUR,Brabham BMW,48,1:30.935
9,12,Ayrton SennaSEN,Lotus Renault,43,1:31.703
10,15,Patrick TambayTAM,Renault,43,1:31.745
11,11,Elio de AngelisDEA,Lotus Renault,10,1:31.896
12,26,Jacques LaffiteLAF,Ligier Renault,27,1:32.448
13,18,Thierry BoutsenBOU,Arrows BMW,29,1:32.820
14,16,Derek WarwickWAR,Renault,5,1:33.330
15,3,Martin BrundleBRU,Tyrrell Renault,20,1:33.418
16,25,Philippe StreiffSTR,Ligier Renault,35,1:33.575
17,19,Teo FabiFAB,Toleman Hart,24,1:33.864
18,22,Riccardo PatresePAT,Alfa Romeo,24,1:34.784
19,9,Philippe AlliotALL,RAM Hart,18,1:35.308
20,23,Eddie  CheeverCHE,Alfa Romeo,3,1:36.311
21,17,Gerhard BergerBER,Arrows BMW,6,1:36.425
22,33,Alan  JonesJON,Lola Hart,6,1:36.536
23,24,Huub RothengatterROT,Osella Alfa Romeo,18,1:37.585
24,10,Kenny AchesonACH,RAM Hart,1,2:14.092
