Pos,No,Driver,Car,Lap,Time
1,12,Ayrton SennaSEN,Lotus Renault,15,1:44.121
2,27,Michele AlboretoALB,Ferrari,5,1:44.864
3,2,Alain ProstPRO,McLaren TAG,8,1:44.901
4,11,Elio de AngelisDEA,Lotus Renault,13,1:45.212
5,6,Keke RosbergROS,Williams Honda,14,1:45.717
6,16,Derek WarwickWAR,Renault,63,1:45.985
7,15,Patrick TambayTAM,Renault,52,1:46.290
8,28,Stefan JohanssonJOH,Ferrari,11,1:46.297
9,1,Niki LaudaLAU,McLaren TAG,4,1:46.633
10,5,Nigel MansellMAN,Williams Honda,62,1:46.697
11,4,Stefan BellofBEL,Tyrrell Renault,11,1:47.861
12,23,Eddie  CheeverCHE,Alfa Romeo,14,1:47.908
13,3,Martin BrundleBRU,Tyrrell Renault,14,1:48.395
14,17,Gerhard BergerBER,Arrows BMW,11,1:48.561
15,18,Thierry BoutsenBOU,Arrows BMW,13,1:49.518
16,25,Andrea de CesarisDEC,Ligier Renault,3,1:49.658
17,9,Manfred WinkelhockWIN,RAM Hart,3,1:50.480
18,26,Jacques LaffiteLAF,Ligier Renault,5,1:50.491
19,10,Philippe AlliotALL,RAM Hart,3,1:50.643
20,7,Nelson PiquetPIQ,Brabham BMW,5,1:51.619
21,22,Riccardo PatresePAT,Alfa Romeo,3,1:51.658
22,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,3,1:51.747
23,8,Francois HesnaultHES,Brabham BMW,3,1:53.975
24,21,Mauro BaldiBAL,Spirit Hart,3,1:54.588
25,29,Pierluigi MartiniMAR,Minardi Ford,3,1:56.040
26,30,Jonathan  PalmerPAL,Zakspeed,1,2:55.894
