Pos,No,Driver,Car,Lap,Time
1,2,Alain ProstPRO,McLaren TAG,39,1:29.241
2,1,Niki LaudaLAU,McLaren TAG,38,1:30.052
3,11,Elio de AngelisDEA,Lotus Renault,40,1:30.949
4,19,Teo FabiFAB,Toleman Hart,26,1:31.089
5,28,Stefan JohanssonJOH,Ferrari,45,1:31.501
6,15,Patrick TambayTAM,Renault,45,1:31.525
7,27,Michele AlboretoALB,Ferrari,40,1:31.536
8,12,Ayrton SennaSEN,Lotus Renault,36,1:31.666
9,6,Keke RosbergROS,Williams Honda,3,1:31.667
10,7,Nelson PiquetPIQ,Brabham BMW,22,1:31.816
11,5,Nigel MansellMAN,Williams Honda,22,1:31.835
12,18,Thierry BoutsenBOU,Arrows BMW,34,1:32.758
13,8,Marc SurerSUR,Brabham BMW,16,1:32.935
14,17,Gerhard BergerBER,Arrows BMW,33,1:33.663
15,16,Derek WarwickWAR,Renault,22,1:33.677
16,26,Jacques LaffiteLAF,Ligier Renault,23,1:33.708
17,25,Andrea de CesarisDEC,Ligier Renault,13,1:33.883
18,9,Philippe AlliotALL,RAM Hart,10,1:34.040
19,3,Stefan BellofBEL,Tyrrell Renault,29,1:34.219
20,22,Riccardo PatresePAT,Alfa Romeo,24,1:34.254
21,23,Eddie  CheeverCHE,Alfa Romeo,3,1:35.522
22,30,Jonathan  PalmerPAL,Zakspeed,13,1:35.792
23,10,Kenny AchesonACH,RAM Hart,17,1:36.491
24,24,Huub RothengatterROT,Osella Alfa Romeo,21,1:38.336
25,29,Pierluigi MartiniMAR,Minardi Ford,27,1:38.727
