Pos,No,Driver,Car,Lap,Time
1,1,Niki LaudaLAU,McLaren TAG,53,1:22.806
2,6,Keke RosbergROS,Williams Honda,59,1:23.481
3,18,Thierry BoutsenBOU,Arrows BMW,57,1:23.652
4,2,Alain ProstPRO,McLaren TAG,51,1:23.810
5,27,Michele AlboretoALB,Ferrari,57,1:24.112
6,28,Stefan JohanssonJOH,Ferrari,16,1:24.185
7,12,Ayrton SennaSEN,Lotus Renault,20,1:24.270
8,19,Teo FabiFAB,Toleman Hart,25,1:24.354
9,3,Stefan BellofBEL,Tyrrell Renault,54,1:24.476
10,5,Nigel MansellMAN,Williams Honda,5,1:24.486
11,11,Elio de AngelisDEA,Lotus Renault,33,1:24.515
12,26,Jacques LaffiteLAF,Ligier Renault,36,1:24.820
13,23,Eddie  CheeverCHE,Alfa Romeo,39,1:24.937
14,7,Nelson PiquetPIQ,Brabham BMW,19,1:25.132
15,15,Patrick TambayTAM,Renault,18,1:25.502
16,17,Gerhard BergerBER,Arrows BMW,5,1:25.555
17,22,Riccardo PatresePAT,Alfa Romeo,5,1:25.854
18,8,Marc SurerSUR,Brabham BMW,6,1:26.204
19,16,Derek WarwickWAR,Renault,5,1:26.496
20,9,Manfred WinkelhockWIN,RAM Hart,7,1:26.691
21,4,Martin BrundleBRU,Tyrrell Renault,63,1:28.197
22,29,Pierluigi MartiniMAR,Minardi Ford,38,1:28.341
23,10,Philippe AlliotALL,RAM Hart,7,1:28.424
24,14,Francois HesnaultHES,Renault,6,1:28.671
25,24,Huub RothengatterROT,Osella Alfa Romeo,31,1:29.263
26,30,Jonathan  PalmerPAL,Zakspeed,5,1:30.543
