Pos,No,Driver,Car,Lap,Time
1,2,Alain ProstPRO,McLaren TAG,57,1:16.538
2,1,Niki LaudaLAU,McLaren TAG,60,1:17.054
3,5,Nigel MansellMAN,Williams Honda,44,1:17.286
4,15,Patrick TambayTAM,Renault,16,1:17.335
5,7,Nelson PiquetPIQ,Brabham BMW,51,1:17.577
6,27,Michele AlboretoALB,Ferrari,43,1:17.710
7,12,Ayrton SennaSEN,Lotus Renault,31,1:17.835
8,11,Elio de AngelisDEA,Lotus Renault,39,1:18.229
9,16,Derek WarwickWAR,Renault,4,1:18.230
10,6,Keke RosbergROS,Williams Honda,3,1:18.369
11,18,Thierry BoutsenBOU,Arrows BMW,47,1:18.730
12,4,Stefan BellofBEL,Tyrrell Renault,31,1:18.878
13,19,Teo FabiFAB,Toleman Hart,16,1:19.043
14,3,Martin BrundleBRU,Tyrrell Renault,47,1:19.259
15,17,Gerhard BergerBER,Arrows BMW,45,1:19.294
16,28,Stefan JohanssonJOH,Ferrari,5,1:19.385
17,8,Marc SurerSUR,Brabham BMW,9,1:19.400
18,26,Jacques LaffiteLAF,Ligier Renault,5,1:19.549
19,25,Andrea de CesarisDEC,Ligier Renault,14,1:19.980
20,30,Jonathan  PalmerPAL,Zakspeed,12,1:20.505
21,20,Piercarlo GhinzaniGHI,Toleman Hart,4,1:20.920
22,9,Philippe AlliotALL,RAM Hart,19,1:20.928
23,24,Huub RothengatterROT,Osella Alfa Romeo,51,1:23.102
24,29,Pierluigi MartiniMAR,Minardi Ford,1,1:41.482
25,23,Eddie  CheeverCHE,Alfa Romeo,1,1:50.408
26,22,Riccardo PatresePAT,Alfa Romeo,1,2:11.271
