Pos,No,Driver,Car,Lap,Time
1,6,Keke RosbergROS,Williams Honda,74,1:08.149
2,5,Nigel MansellMAN,Williams Honda,74,1:08.518
3,2,Alain ProstPRO,McLaren TAG,56,1:08.713
4,18,Thierry BoutsenBOU,Arrows BMW,63,1:09.230
5,1,Niki LaudaLAU,McLaren TAG,35,1:09.500
6,11,Elio de AngelisDEA,Lotus Renault,34,1:09.960
7,12,Ayrton SennaSEN,Lotus Renault,7,1:10.077
8,17,Gerhard BergerBER,Arrows BMW,33,1:10.258
9,3,Martin BrundleBRU,Tyrrell Renault,45,1:10.339
10,28,Stefan JohanssonJOH,Ferrari,41,1:10.413
11,7,Nelson PiquetPIQ,Brabham BMW,3,1:10.476
12,27,Michele AlboretoALB,Ferrari,5,1:10.850
13,4,Philippe StreiffSTR,Tyrrell Renault,5,1:11.404
14,19,Teo FabiFAB,Toleman Hart,3,1:12.035
15,8,Marc SurerSUR,Brabham BMW,2,1:12.100
16,29,Pierluigi MartiniMAR,Minardi Ford,5,1:14.428
17,20,Piercarlo GhinzaniGHI,Toleman Hart,3,1:29.450
18,24,Huub RothengatterROT,Osella Alfa Romeo,1,1:29.792
