Pos,No,Driver,Car,Lap,Time
1,6,Keke RosbergROS,Williams Honda,46,1:39.914
2,7,Nelson PiquetPIQ,Brabham BMW,2,1:41.528
3,12,Ayrton SennaSEN,Lotus Renault,2,1:41.552
4,25,Andrea de CesarisDEC,Ligier Renault,3,1:41.843
5,8,Marc SurerSUR,Brabham BMW,44,1:41.934
6,27,Michele AlboretoALB,Ferrari,3,1:41.985
7,2,Alain ProstPRO,McLaren TAG,2,1:41.991
8,1,Niki LaudaLAU,McLaren TAG,3,1:42.037
9,11,Elio de AngelisDEA,Lotus Renault,3,1:42.046
10,18,Thierry BoutsenBOU,Arrows BMW,46,1:42.226
11,19,Teo FabiFAB,Toleman Hart,48,1:42.310
12,16,Derek WarwickWAR,Renault,4,1:43.279
13,28,Stefan JohanssonJOH,Ferrari,48,1:43.411
14,17,Gerhard BergerBER,Arrows BMW,4,1:43.717
15,15,Patrick TambayTAM,Renault,5,1:43.869
16,26,Jacques LaffiteLAF,Ligier Renault,2,1:44.273
17,23,Eddie  CheeverCHE,Alfa Romeo,31,1:45.399
18,3,Martin BrundleBRU,Tyrrell Renault,5,1:45.456
19,9,Manfred WinkelhockWIN,RAM Hart,5,1:45.491
20,22,Riccardo PatresePAT,Alfa Romeo,2,1:45.509
21,30,Jonathan  PalmerPAL,Zakspeed,6,1:45.696
22,10,Philippe AlliotALL,RAM Hart,2,1:46.899
23,4,Stefan BellofBEL,Tyrrell Renault,33,1:47.553
24,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,4,1:48.306
25,29,Pierluigi MartiniMAR,Minardi Ford,3,1:48.720
