Pos,No,Driver,Car,Lap,Time
1,26,Jacques LaffiteLAF,Ligier Renault,55,1:11.526
2,2,Alain ProstPRO,McLaren TAG,49,1:11.655
3,6,Keke RosbergROS,Williams Honda,58,1:12.022
4,5,Nigel MansellMAN,Williams Honda,60,1:12.583
5,12,Ayrton SennaSEN,Lotus Renault,56,1:12.601
6,8,Marc SurerSUR,Brabham BMW,38,1:12.862
7,28,Stefan JohanssonJOH,Ferrari,48,1:13.353
8,23,Eddie  CheeverCHE,Alfa Romeo,45,1:13.620
9,11,Elio de AngelisDEA,Lotus Renault,50,1:13.793
10,1,John WatsonWAT,McLaren TAG,52,1:14.007
11,22,Riccardo PatresePAT,Alfa Romeo,38,1:14.317
12,17,Gerhard BergerBER,Arrows BMW,54,1:14.391
13,3,Martin BrundleBRU,Tyrrell Renault,35,1:14.462
14,25,Philippe StreiffSTR,Ligier Renault,25,1:14.476
15,15,Patrick TambayTAM,Renault,68,1:14.571
16,18,Thierry BoutsenBOU,Arrows BMW,45,1:14.583
17,7,Nelson PiquetPIQ,Brabham BMW,6,1:14.649
18,27,Michele AlboretoALB,Ferrari,6,1:15.224
19,4,Ivan CapelliCAP,Tyrrell Renault,37,1:15.538
20,19,Teo FabiFAB,Toleman Hart,26,1:15.595
21,20,Piercarlo GhinzaniGHI,Toleman Hart,15,1:15.946
22,9,Philippe AlliotALL,RAM Hart,13,1:16.141
23,33,Alan  JonesJON,Lola Hart,9,1:16.390
24,30,Christian DannerDAN,Zakspeed,26,1:19.150
25,29,Pierluigi MartiniMAR,Minardi Ford,3,1:21.352
26,16,Derek WarwickWAR,Renault,4,1:28.545
