Pos,No,Driver,Car,Time
1,1,Michael SchumacherMSC,Ferrari,1:15.782
2,5,Ralf SchumacherRSC,Williams BMW,1:16.297
3,4,David CoulthardCOU,McLaren Mercedes,1:16.423
4,12,Jarno TrulliTRU,Jordan Honda,1:16.459
5,2,Rubens BarrichelloBAR,Ferrari,1:16.760
6,9,Olivier PanisPAN,BAR Honda,1:16.771
7,17,Kimi RäikkönenRAI,Sauber Petronas,1:16.875
8,3,Mika HakkinenHAK,McLaren Mercedes,1:16.979
9,10,Jacques VilleneuveVIL,BAR Honda,1:17.035
10,6,Juan Pablo MontoyaMOY,Williams BMW,1:17.123
11,16,Nick HeidfeldHEI,Sauber Petronas,1:17.165
12,11,Ricardo ZontaZON,Jordan Honda,1:17.328
13,14,Jos VerstappenVER,Arrows Asiatech,1:17.903
14,19,Pedro de la RosaDLR,Jaguar Cosworth,1:18.015
15,18,Eddie IrvineIRV,Jaguar Cosworth,1:18.016
16,22,Jean AlesiALE,Prost Acer,1:18.178
17,15,Enrique BernoldiBER,Arrows Asiatech,1:18.575
18,7,Giancarlo FisichellaFIS,Benetton Renault,1:18.622
19,23,Luciano BurtiBUR,Prost Acer,1:18.753
20,8,Jenson ButtonBUT,Benetton Renault,1:19.033
21,20,Tarso MarquesMAR,Minardi European,1:20.690
22,21,Fernando AlonsoALO,Minardi European,
