Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Renault,43,1:26.379
2,27,Alain ProstPRO,Ferrari,48,1:26.589
3,2,Gerhard BergerBER,McLaren Honda,51,1:26.633
4,1,Ayrton SennaSEN,McLaren Honda,43,1:27.509
5,20,Nelson PiquetPIQ,Benetton Ford,53,1:27.857
6,4,Stefano ModenaMOD,Tyrrell Honda,57,1:27.936
7,28,Jean AlesiALE,Ferrari,30,1:27.998
8,22,Jyrki JarvilehtoJAR,Dallara Judd,55,1:28.305
9,24,Gianni MorbidelliMOR,Minardi Ferrari,56,1:28.856
10,32,Bertrand GachotGAC,Jordan Ford,23,1:28.869
11,33,Andrea de CesarisDEC,Jordan Ford,40,1:29.246
12,8,Mark BlundellBLU,Brabham Yamaha,41,1:29.316
13,3,Satoru NakajimaNAK,Tyrrell Honda,49,1:29.379
14,11,Mika HakkinenHAK,Lotus Judd,39,1:29.411
15,21,Emanuele PirroPIR,Dallara Judd,49,1:29.485
16,12,Johnny HerbertHER,Lotus Judd,50,1:29.877
17,19,Roberto MorenoMOR,Benetton Ford,16,1:30.204
18,23,Pierluigi MartiniMAR,Minardi Ferrari,41,1:30.222
19,7,Martin BrundleBRU,Brabham Yamaha,23,1:30.935
20,16,Ivan CapelliCAP,Leyton House Ilmor,9,1:31.078
21,30,Aguri SuzukiSUZ,Lola Ford,28,1:31.133
22,25,Thierry BoutsenBOU,Ligier Lamborghini,20,1:31.192
23,15,Mauricio GugelminGUG,Leyton House Ilmor,5,1:31.207
24,29,Eric BernardBER,Lola Ford,21,1:31.493
25,9,Michele AlboretoALB,Footwork Porsche,25,1:31.804
26,6,Riccardo PatresePAT,Williams Renault,1,2:48.923
