Pos,No,Driver,Car,Lap,Time
1,19,Roberto MorenoMOR,Benetton Ford,40,1:55.161
2,2,Gerhard BergerBER,McLaren Honda,39,1:55.601
3,6,Riccardo PatresePAT,Williams Renault,39,1:55.993
4,5,Nigel MansellMAN,Williams Renault,21,1:56.459
5,1,Ayrton SennaSEN,McLaren Honda,42,1:56.471
6,33,Andrea de CesarisDEC,Jordan Ford,25,1:56.477
7,20,Nelson PiquetPIQ,Benetton Ford,26,1:57.084
8,23,Pierluigi MartiniMAR,Minardi Ferrari,22,1:57.303
9,28,Jean AlesiALE,Ferrari,29,1:57.308
10,4,Stefano ModenaMOD,Tyrrell Honda,21,1:57.793
11,21,Emanuele PirroPIR,Dallara Judd,32,1:58.017
12,8,Mark BlundellBLU,Brabham Yamaha,24,1:58.145
13,22,Jyrki JarvilehtoJAR,Dallara Judd,23,1:58.164
14,26,Erik ComasCOM,Ligier Lamborghini,20,1:58.348
15,24,Gianni MorbidelliMOR,Minardi Ferrari,29,1:58.443
16,7,Martin BrundleBRU,Brabham Yamaha,22,1:58.540
17,12,Johnny HerbertHER,Lotus Judd,29,1:58.606
18,25,Thierry BoutsenBOU,Ligier Lamborghini,15,1:58.921
19,14,Olivier GrouillardGRO,Fondmetal Ford,19,1:59.340
20,11,Mika HakkinenHAK,Lotus Judd,25,1:59.527
21,16,Ivan CapelliCAP,Leyton House Ilmor,11,1:59.757
22,29,Eric BernardBER,Lola Ford,18,2:01.062
23,27,Alain ProstPRO,Ferrari,2,2:01.161
24,3,Satoru NakajimaNAK,Tyrrell Honda,6,2:02.123
25,15,Mauricio GugelminGUG,Leyton House Ilmor,1,2:16.691
