Pos,No,Driver,Car,Lap,Time
1,2,Gerhard BergerBER,McLaren Honda,14,1:41.141
2,1,Ayrton SennaSEN,McLaren Honda,13,1:42.545
3,20,Nelson PiquetPIQ,Benetton Ford,5,1:42.616
4,5,Nigel MansellMAN,Williams Renault,13,1:42.908
5,32,Alessandro ZanardiZAN,Jordan Ford,14,1:43.519
6,19,Michael SchumacherMSC,Benetton Ford,4,1:43.714
7,21,Emanuele PirroPIR,Dallara Judd,13,1:44.933
8,33,Andrea de CesarisDEC,Jordan Ford,14,1:45.264
9,6,Riccardo PatresePAT,Williams Renault,9,1:45.297
10,27,Gianni MorbidelliMOR,Ferrari,5,1:45.599
11,28,Jean AlesiALE,Ferrari,5,1:45.738
12,4,Stefano ModenaMOD,Tyrrell Honda,12,1:45.912
13,12,Johnny HerbertHER,Lotus Judd,12,1:46.437
14,8,Mark BlundellBLU,Brabham Yamaha,13,1:46.821
15,24,Roberto MorenoMOR,Minardi Ferrari,13,1:47.000
16,9,Michele AlboretoALB,Footwork Porsche,12,1:47.030
17,15,Mauricio GugelminGUG,Leyton House Ilmor,12,1:47.395
18,10,Alex CaffiCAF,Footwork Porsche,13,1:47.421
19,22,Jyrki JarvilehtoJAR,Dallara Judd,11,1:48.018
20,16,Karl WendlingerWEN,Leyton House Ilmor,12,1:48.614
21,34,Nicola LariniLAR,Lambo Lamborghini,5,1:49.640
22,26,Erik ComasCOM,Ligier Lamborghini,13,1:50.046
23,11,Mika HakkinenHAK,Lotus Judd,10,1:50.949
24,23,Pierluigi MartiniMAR,Minardi Ferrari,8,1:51.274
25,25,Thierry BoutsenBOU,Ligier Lamborghini,5,1:52.628
26,3,Satoru NakajimaNAK,Tyrrell Honda,4,1:55.073
