Pos,No,Driver,Car,Lap,Time
1,1,Ayrton SennaSEN,McLaren Honda,39,1:41.532
2,2,Gerhard BergerBER,McLaren Honda,40,1:41.572
3,6,Riccardo PatresePAT,Williams Renault,27,1:41.804
4,19,Michael SchumacherMSC,Benetton Ford,29,1:43.530
5,4,Stefano ModenaMOD,Tyrrell Honda,46,1:43.596
6,27,Alain ProstPRO,Ferrari,36,1:43.712
7,7,Martin BrundleBRU,Brabham Yamaha,32,1:43.959
8,20,Nelson PiquetPIQ,Benetton Ford,39,1:43.997
9,26,Erik ComasCOM,Ligier Lamborghini,34,1:44.204
10,15,Mauricio GugelminGUG,Leyton House Ilmor,29,1:44.344
11,23,Pierluigi MartiniMAR,Minardi Ferrari,30,1:44.718
12,30,Aguri SuzukiSUZ,Lola Ford,21,1:45.107
13,5,Nigel MansellMAN,Williams Renault,4,1:45.642
14,25,Thierry BoutsenBOU,Ligier Lamborghini,25,1:45.723
15,12,Johnny HerbertHER,Lotus Judd,30,1:45.853
16,10,Alex CaffiCAF,Footwork Porsche,28,1:45.999
17,32,Alessandro ZanardiZAN,Jordan Ford,3,1:46.184
18,14,Gabriele TarquiniTAR,Fondmetal Ford,50,1:46.210
19,3,Satoru NakajimaNAK,Tyrrell Honda,18,1:46.351
20,24,Gianni MorbidelliMOR,Minardi Ferrari,11,1:47.108
21,11,Mika HakkinenHAK,Lotus Judd,4,1:48.864
22,33,Andrea de CesarisDEC,Jordan Ford,1,1:57.393
23,22,Jyrki JarvilehtoJAR,Dallara Judd,1,1:58.100
24,21,Emanuele PirroPIR,Dallara Judd,1,1:58.757
25,16,Karl WendlingerWEN,Leyton House Ilmor,1,2:02.942
