Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Renault,49,1:19.168
2,27,Alain ProstPRO,Ferrari,49,1:19.944
3,6,Riccardo PatresePAT,Williams Renault,65,1:20.028
4,28,Jean AlesiALE,Ferrari,56,1:20.425
5,1,Ayrton SennaSEN,McLaren Honda,54,1:20.570
6,33,Andrea de CesarisDEC,Jordan Ford,57,1:21.051
7,25,Thierry BoutsenBOU,Ligier Lamborghini,34,1:21.641
8,23,Pierluigi MartiniMAR,Minardi Ferrari,50,1:21.719
9,20,Nelson PiquetPIQ,Benetton Ford,64,1:21.873
10,26,Erik ComasCOM,Ligier Lamborghini,26,1:21.916
11,29,Eric BernardBER,Lola Ford,42,1:22.133
12,15,Mauricio GugelminGUG,Leyton House Ilmor,53,1:22.309
13,14,Olivier GrouillardGRO,Fondmetal Ford,30,1:22.837
14,12,Johnny HerbertHER,Lotus Judd,47,1:23.201
15,8,Mark BlundellBLU,Brabham Yamaha,26,1:23.282
16,2,Gerhard BergerBER,McLaren Honda,6,1:23.297
17,30,Aguri SuzukiSUZ,Lola Ford,24,1:23.448
18,4,Stefano ModenaMOD,Tyrrell Honda,48,1:23.480
19,16,Ivan CapelliCAP,Leyton House Ilmor,7,1:23.623
20,7,Martin BrundleBRU,Brabham Yamaha,16,1:23.636
21,24,Gianni MorbidelliMOR,Minardi Ferrari,5,1:23.687
22,19,Roberto MorenoMOR,Benetton Ford,36,1:23.693
23,22,Jyrki JarvilehtoJAR,Dallara Judd,32,1:23.748
24,9,Michele AlboretoALB,Footwork Porsche,16,1:24.369
25,3,Satoru NakajimaNAK,Tyrrell Honda,12,1:24.420
