Pos,No,Driver,Car,Lap,Time
1,1,Ayrton SennaSEN,McLaren Honda,41,1:26.061
2,20,Nelson PiquetPIQ,Benetton Ford,39,1:26.437
3,7,Martin BrundleBRU,Brabham Yamaha,52,1:26.590
4,5,Nigel MansellMAN,Williams Renault,47,1:26.828
5,8,Mark BlundellBLU,Brabham Yamaha,51,1:26.870
6,33,Andrea de CesarisDEC,Jordan Ford,51,1:27.152
7,27,Alain ProstPRO,Ferrari,40,1:27.247
8,28,Jean AlesiALE,Ferrari,28,1:27.300
9,2,Gerhard BergerBER,McLaren Honda,43,1:27.465
10,19,Michael SchumacherMSC,Benetton Ford,43,1:27.472
11,6,Riccardo PatresePAT,Williams Renault,25,1:27.552
12,24,Gianni MorbidelliMOR,Minardi Ferrari,37,1:27.905
13,22,Jyrki JarvilehtoJAR,Dallara Judd,30,1:28.264
14,34,Nicola LariniLAR,Lambo Lamborghini,43,1:28.413
15,16,Ivan CapelliCAP,Leyton House Ilmor,27,1:28.455
16,21,Emanuele PirroPIR,Dallara Judd,45,1:28.644
17,23,Pierluigi MartiniMAR,Minardi Ferrari,6,1:28.893
18,15,Mauricio GugelminGUG,Leyton House Ilmor,36,1:29.354
19,26,Erik ComasCOM,Ligier Lamborghini,28,1:29.568
20,14,Olivier GrouillardGRO,Fondmetal Ford,41,1:29.726
21,4,Stefano ModenaMOD,Tyrrell Honda,12,1:29.901
22,3,Satoru NakajimaNAK,Tyrrell Honda,19,1:30.140
23,29,Eric BernardBER,Lola Ford,17,1:30.326
24,32,Roberto MorenoMOR,Jordan Ford,2,1:32.238
25,11,Mika HakkinenHAK,Lotus Judd,5,1:33.025
26,25,Thierry BoutsenBOU,Ligier Lamborghini,1,1:45.997
