Pos,No,Driver,Car,Lap,Time
1,28,Jean AlesiALE,Ferrari,49,1:26.758
2,27,Alain ProstPRO,Ferrari,68,1:26.845
3,20,Nelson PiquetPIQ,Benetton Ford,67,1:26.965
4,1,Ayrton SennaSEN,McLaren Honda,39,1:27.153
5,6,Riccardo PatresePAT,Williams Renault,24,1:27.450
6,4,Stefano ModenaMOD,Tyrrell Honda,69,1:27.983
7,19,Roberto MorenoMOR,Benetton Ford,40,1:28.044
8,3,Satoru NakajimaNAK,Tyrrell Honda,67,1:28.227
9,2,Gerhard BergerBER,McLaren Honda,33,1:28.286
10,5,Nigel MansellMAN,Williams Renault,28,1:28.502
11,32,Bertrand GachotGAC,Jordan Ford,73,1:28.975
12,30,Aguri SuzukiSUZ,Lola Ford,12,1:28.993
13,11,Mika HakkinenHAK,Lotus Judd,43,1:29.072
14,16,Ivan CapelliCAP,Leyton House Ilmor,30,1:29.201
15,25,Thierry BoutsenBOU,Ligier Lamborghini,40,1:29.310
16,23,Pierluigi MartiniMAR,Minardi Ferrari,47,1:29.356
17,15,Mauricio GugelminGUG,Leyton House Ilmor,24,1:29.505
18,34,Nicola LariniLAR,Lambo Lamborghini,46,1:29.877
19,21,Emanuele PirroPIR,Dallara Judd,14,1:29.910
20,9,Michele AlboretoALB,Footwork Porsche,27,1:30.077
21,17,Gabriele TarquiniTAR,AGS Ford,73,1:30.242
22,7,Martin BrundleBRU,Brabham Yamaha,29,1:30.472
23,8,Mark BlundellBLU,Brabham Yamaha,32,1:31.092
24,22,Jyrki JarvilehtoJAR,Dallara Judd,6,1:31.435
25,24,Gianni MorbidelliMOR,Minardi Ferrari,13,1:31.631
26,29,Eric BernardBER,Lola Ford,4,1:31.732
