Pos,No,Driver,Car,Lap,Time
1,27,Alain ProstPRO,Ferrari,77,1:24.368
2,5,Nigel MansellMAN,Williams Renault,53,1:24.850
3,6,Riccardo PatresePAT,Williams Renault,34,1:25.147
4,2,Gerhard BergerBER,McLaren Honda,6,1:25.228
5,1,Ayrton SennaSEN,McLaren Honda,32,1:25.250
6,4,Stefano ModenaMOD,Tyrrell Honda,34,1:25.629
7,19,Roberto MorenoMOR,Benetton Ford,31,1:25.823
8,28,Jean AlesiALE,Ferrari,51,1:26.055
9,33,Andrea de CesarisDEC,Jordan Ford,10,1:26.257
10,11,Mika HakkinenHAK,Lotus Judd,64,1:26.627
11,21,Emanuele PirroPIR,Dallara Judd,52,1:26.924
12,32,Bertrand GachotGAC,Jordan Ford,64,1:27.163
13,26,Erik ComasCOM,Ligier Lamborghini,40,1:27.304
14,22,Jyrki JarvilehtoJAR,Dallara Judd,41,1:27.541
15,29,Eric BernardBER,Lola Ford,64,1:27.624
16,8,Mark BlundellBLU,Brabham Yamaha,33,1:27.641
17,3,Satoru NakajimaNAK,Tyrrell Honda,11,1:27.740
18,23,Pierluigi MartiniMAR,Minardi Ferrari,49,1:27.740
19,25,Thierry BoutsenBOU,Ligier Lamborghini,71,1:27.787
20,15,Mauricio GugelminGUG,Leyton House Ilmor,37,1:28.012
21,24,Gianni MorbidelliMOR,Minardi Ferrari,41,1:28.648
22,30,Aguri SuzukiSUZ,Lola Ford,6,1:28.661
23,16,Ivan CapelliCAP,Leyton House Ilmor,4,1:28.803
24,17,Gabriele TarquiniTAR,AGS Ford,7,1:29.711
25,9,Michele AlboretoALB,Footwork Porsche,6,1:30.366
