Pos,No,Driver,Car,Lap,Time
1,6,Riccardo PatresePAT,Williams Renault,63,1:22.837
2,28,Jean AlesiALE,Ferrari,61,1:22.978
3,5,Nigel MansellMAN,Williams Renault,62,1:23.293
4,27,Alain ProstPRO,Ferrari,60,1:23.729
5,15,Mauricio GugelminGUG,Leyton House Ilmor,61,1:23.915
6,22,Jyrki JarvilehtoJAR,Dallara Judd,60,1:24.310
7,1,Ayrton SennaSEN,McLaren Honda,58,1:24.771
8,32,Alessandro ZanardiZAN,Jordan Ford,60,1:24.997
9,23,Pierluigi MartiniMAR,Minardi Ferrari,62,1:25.020
10,20,Nelson PiquetPIQ,Benetton Ford,62,1:25.120
11,4,Stefano ModenaMOD,Tyrrell Honda,54,1:25.224
12,21,Emanuele PirroPIR,Dallara Judd,46,1:25.308
13,8,Mark BlundellBLU,Brabham Yamaha,39,1:25.373
14,7,Martin BrundleBRU,Brabham Yamaha,62,1:25.396
15,19,Michael SchumacherMSC,Benetton Ford,61,1:25.546
16,2,Gerhard BergerBER,McLaren Honda,32,1:26.078
17,24,Gianni MorbidelliMOR,Minardi Ferrari,57,1:26.606
18,3,Satoru NakajimaNAK,Tyrrell Honda,60,1:26.905
19,14,Gabriele TarquiniTAR,Fondmetal Ford,55,1:27.108
20,26,Erik ComasCOM,Ligier Lamborghini,30,1:29.807
21,33,Andrea de CesarisDEC,Jordan Ford,22,1:31.399
22,9,Michele AlboretoALB,Footwork Porsche,21,1:33.079
23,11,Mika HakkinenHAK,Lotus Judd,4,1:43.739
24,16,Ivan CapelliCAP,Leyton House Ilmor,1,1:56.083
