Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,15,1:47.176,233.884
2,2,Rubens BarrichelloBAR,Ferrari,16,1:48.196,231.679
3,6,Juan Pablo MontoyaMOY,Williams BMW,44,1:49.293,229.354
4,3,David CoulthardCOU,McLaren Mercedes,43,1:49.398,229.133
5,5,Ralf SchumacherRSC,Williams BMW,15,1:49.681,228.542
6,4,Kimi RäikkönenRAI,McLaren Mercedes,31,1:49.764,228.369
7,11,Jacques VilleneuveVIL,BAR Honda,43,1:49.787,228.322
8,17,Pedro de la RosaDLR,Jaguar Cosworth,14,1:50.221,227.423
9,14,Jarno TrulliTRU,Renault,15,1:50.235,227.394
10,12,Olivier PanisPAN,BAR Honda,34,1:50.275,227.311
11,8,Felipe MassaMAS,Sauber Petronas,30,1:50.595,226.654
12,16,Eddie IrvineIRV,Jaguar Cosworth,13,1:50.829,226.175
13,24,Mika SaloSAL,Toyota,18,1:50.832,226.169
14,10,Takuma SatoSAT,Jordan Honda,26,1:50.886,226.059
15,9,Giancarlo FisichellaFIS,Jordan Honda,17,1:50.969,225.890
16,7,Nick HeidfeldHEI,Sauber Petronas,19,1:51.013,225.800
17,15,Jenson ButtonBUT,Renault,6,1:51.223,225.374
18,25,Allan McNishMCN,Toyota,17,1:51.479,224.856
19,22,Anthony DavidsonDAV,Minardi Asiatech,12,1:51.878,224.054
20,23,Mark WebberWEB,Minardi Asiatech,3,1:52.469,222.877
