Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,68,1:09.298,224.733
2,2,Rubens BarrichelloBAR,Ferrari,57,1:09.320,224.662
3,6,Juan Pablo MontoyaMOY,Williams BMW,70,1:09.853,222.948
4,5,Ralf SchumacherRSC,Williams BMW,66,1:09.862,222.919
5,11,Jacques VilleneuveVIL,BAR Honda,52,1:10.823,219.894
6,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,67,1:11.201,218.727
7,15,Jenson ButtonBUT,Renault,68,1:11.209,218.702
8,3,David CoulthardCOU,McLaren Mercedes,69,1:11.223,218.659
9,9,Giancarlo FisichellaFIS,Jordan Honda,66,1:11.284,218.472
10,25,Allan McNishMCN,Toyota,67,1:11.456,217.946
11,24,Mika SaloSAL,Toyota,64,1:11.591,217.535
12,23,Mark WebberWEB,Minardi Asiatech,67,1:11.819,216.845
13,7,Nick HeidfeldHEI,Sauber Petronas,20,1:12.180,215.760
14,12,Olivier PanisPAN,BAR Honda,22,1:12.594,214.530
15,16,Eddie IrvineIRV,Jaguar Cosworth,22,1:12.602,214.506
16,14,Jarno TrulliTRU,Renault,40,1:12.626,214.435
17,10,Takuma SatoSAT,Jordan Honda,20,1:13.119,212.989
18,4,Kimi RäikkönenRAI,McLaren Mercedes,5,1:14.028,210.374
19,8,Felipe MassaMAS,Sauber Petronas,6,1:14.052,210.306
20,22,Alex YoongYOO,Minardi Asiatech,22,1:14.441,209.207
21,21,Enrique BernoldiBER,Arrows Cosworth,2,1:21.891,190.174
