Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,15,1:36.125,218.003
2,2,Rubens BarrichelloBAR,Ferrari,23,1:36.345,217.505
3,5,Ralf SchumacherRSC,Williams BMW,26,1:36.590,216.954
4,6,Juan Pablo MontoyaMOY,Williams BMW,38,1:36.757,216.579
5,4,Kimi RäikkönenRAI,McLaren Mercedes,46,1:36.848,216.376
6,24,Mika SaloSAL,Toyota,20,1:37.761,214.355
7,10,Takuma SatoSAT,Jordan Honda,35,1:37.840,214.182
8,14,Jarno TrulliTRU,Renault,30,1:38.000,213.832
9,15,Jenson ButtonBUT,Renault,31,1:38.046,213.732
10,11,Jacques VilleneuveVIL,BAR Honda,24,1:38.058,213.706
11,9,Giancarlo FisichellaFIS,Jordan Honda,23,1:38.217,213.360
12,3,David CoulthardCOU,McLaren Mercedes,6,1:38.251,213.286
13,7,Nick HeidfeldHEI,Sauber Petronas,21,1:38.534,212.673
14,16,Eddie IrvineIRV,Jaguar Cosworth,40,1:38.647,212.430
15,17,Pedro de la RosaDLR,Jaguar Cosworth,35,1:38.836,212.023
16,8,Felipe MassaMAS,Sauber Petronas,3,1:39.954,209.652
17,23,Mark WebberWEB,Minardi Asiatech,51,1:40.232,209.070
18,22,Alex YoongYOO,Minardi Asiatech,6,1:40.937,207.610
19,12,Olivier PanisPAN,BAR Honda,4,1:42.082,205.282
