Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,David CoulthardCOU,McLaren Mercedes,62,1:15.045,203.925
2,1,Michael SchumacherMSC,Ferrari,25,1:15.311,203.205
3,4,Kimi RäikkönenRAI,McLaren Mercedes,54,1:15.406,202.949
4,5,Ralf SchumacherRSC,Williams BMW,24,1:15.584,202.471
5,6,Juan Pablo MontoyaMOY,Williams BMW,26,1:15.697,202.169
6,15,Jenson ButtonBUT,Renault,22,1:15.957,201.477
7,12,Olivier PanisPAN,BAR Honda,4,1:16.278,200.629
8,14,Jarno TrulliTRU,Renault,20,1:16.300,200.571
9,16,Eddie IrvineIRV,Jaguar Cosworth,20,1:16.456,200.162
10,17,Pedro de la RosaDLR,Jaguar Cosworth,58,1:16.515,200.007
11,11,Jacques VilleneuveVIL,BAR Honda,23,1:16.667,199.611
12,7,Nick HeidfeldHEI,Sauber Petronas,22,1:16.847,199.143
13,8,Felipe MassaMAS,Sauber Petronas,46,1:17.029,198.673
14,23,Mark WebberWEB,Minardi Asiatech,26,1:17.087,198.523
15,24,Mika SaloSAL,Toyota,28,1:17.295,197.989
16,25,Allan McNishMCN,Toyota,47,1:17.304,197.966
17,10,Takuma SatoSAT,Jordan Honda,6,1:17.565,197.300
18,22,Alex YoongYOO,Minardi Asiatech,37,1:18.998,193.721
