Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Rubens BarrichelloBAR,Ferrari,68,1:18.023,155.492
2,1,Michael SchumacherMSC,Ferrari,51,1:18.652,154.249
3,9,Giancarlo FisichellaFIS,Jordan Honda,70,1:19.120,153.336
4,3,David CoulthardCOU,McLaren Mercedes,74,1:19.360,152.872
5,24,Mika SaloSAL,Toyota,62,1:19.479,152.644
6,5,Ralf SchumacherRSC,Williams BMW,61,1:19.489,152.624
7,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,76,1:19.601,152.410
8,23,Mark WebberWEB,Minardi Asiatech,69,1:19.968,151.710
9,21,Enrique BernoldiBER,Arrows Cosworth,73,1:20.117,151.428
10,6,Juan Pablo MontoyaMOY,Williams BMW,36,1:20.346,150.996
11,4,Kimi RäikkönenRAI,McLaren Mercedes,39,1:20.426,150.846
12,14,Jarno TrulliTRU,Renault,46,1:20.445,150.811
13,15,Jenson ButtonBUT,Renault,41,1:20.720,150.297
14,7,Nick HeidfeldHEI,Sauber Petronas,64,1:20.927,149.912
15,17,Pedro de la RosaDLR,Jaguar Cosworth,62,1:20.953,149.864
16,8,Felipe MassaMAS,Sauber Petronas,55,1:21.057,149.672
17,16,Eddie IrvineIRV,Jaguar Cosworth,63,1:21.059,149.668
18,12,Olivier PanisPAN,BAR Honda,32,1:21.916,148.102
19,11,Jacques VilleneuveVIL,BAR Honda,34,1:22.037,147.884
20,10,Takuma SatoSAT,Jordan Honda,18,1:22.148,147.684
21,25,Allan McNishMCN,Toyota,15,1:22.250,147.501
22,22,Alex YoongYOO,Minardi Asiatech,25,1:22.784,146.550
