Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,44,1:16.462,215.354
2,5,Ralf SchumacherRSC,Williams BMW,47,1:16.513,215.210
3,6,Juan Pablo MontoyaMOY,Williams BMW,33,1:16.693,214.705
4,2,Rubens BarrichelloBAR,Ferrari,45,1:16.845,214.280
5,3,David CoulthardCOU,McLaren Mercedes,43,1:17.530,212.387
6,4,Kimi RäikkönenRAI,McLaren Mercedes,24,1:17.895,211.392
7,9,Giancarlo FisichellaFIS,Jordan Honda,44,1:18.053,210.964
8,7,Nick HeidfeldHEI,Sauber Petronas,46,1:18.062,210.940
9,14,Jarno TrulliTRU,Renault,35,1:18.280,210.352
10,12,Olivier PanisPAN,BAR Honda,27,1:18.405,210.017
11,10,Takuma SatoSAT,Jordan Honda,43,1:18.448,209.902
12,24,Mika SaloSAL,Toyota,45,1:18.497,209.771
13,8,Felipe MassaMAS,Sauber Petronas,44,1:18.562,209.597
14,16,Eddie IrvineIRV,Jaguar Cosworth,16,1:18.859,208.808
15,21,Enrique BernoldiBER,Arrows Cosworth,43,1:19.084,208.214
16,11,Jacques VilleneuveVIL,BAR Honda,22,1:19.400,207.385
17,23,Mark WebberWEB,Minardi Asiatech,22,1:19.485,207.163
18,25,Allan McNishMCN,Toyota,17,1:19.587,206.898
19,15,Jenson ButtonBUT,Renault,23,1:19.695,206.617
20,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,16,1:19.995,205.842
