Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,49,1:20.355,211.909
2,6,Juan Pablo MontoyaMOY,Williams BMW,47,1:21.740,208.319
3,3,David CoulthardCOU,McLaren Mercedes,45,1:21.931,207.833
4,14,Jarno TrulliTRU,Renault,25,1:22.155,207.266
5,8,Felipe MassaMAS,Sauber Petronas,28,1:22.186,207.188
6,20,Heinz-Harald FrentzenFRE,Arrows Cosworth,43,1:22.320,206.851
7,24,Mika SaloSAL,Toyota,47,1:22.524,206.339
8,15,Jenson ButtonBUT,Renault,26,1:22.607,206.132
9,5,Ralf SchumacherRSC,Williams BMW,27,1:22.697,205.908
10,11,Jacques VilleneuveVIL,BAR Honda,47,1:22.827,205.585
11,7,Nick HeidfeldHEI,Sauber Petronas,29,1:22.860,205.503
12,12,Olivier PanisPAN,BAR Honda,26,1:22.872,205.473
13,25,Allan McNishMCN,Toyota,46,1:23.160,204.761
14,21,Enrique BernoldiBER,Arrows Cosworth,26,1:23.507,203.911
15,4,Kimi RäikkönenRAI,McLaren Mercedes,3,1:23.524,203.869
16,16,Eddie IrvineIRV,Jaguar Cosworth,28,1:24.187,202.264
17,10,Takuma SatoSAT,Jordan Honda,10,1:24.198,202.237
18,9,Giancarlo FisichellaFIS,Jordan Honda,3,1:24.493,201.531
19,17,Pedro de la RosaDLR,Jaguar Cosworth,2,1:25.944,198.129
