Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Rubens BarrichelloBAR,Ferrari,27,1:12.738,207.473
2,1,Michael SchumacherMSC,Ferrari,26,1:12.754,207.427
3,6,Juan Pablo MontoyaMOY,Williams BMW,72,1:12.798,207.302
4,5,Ralf SchumacherRSC,Williams BMW,71,1:13.260,205.995
5,3,David CoulthardCOU,McLaren Mercedes,41,1:13.481,205.375
6,4,Kimi RäikkönenRAI,McLaren Mercedes,42,1:13.819,204.435
7,11,Jacques VilleneuveVIL,BAR Honda,48,1:13.848,204.354
8,9,Giancarlo FisichellaFIS,Jordan Honda,34,1:14.025,203.866
9,14,Jarno TrulliTRU,Renault,27,1:14.026,203.863
10,16,Eddie IrvineIRV,Jaguar Cosworth,41,1:14.190,203.412
11,12,Olivier PanisPAN,BAR Honda,47,1:14.263,203.212
12,15,Jenson ButtonBUT,Renault,71,1:14.265,203.207
13,10,Takuma SatoSAT,Jordan Honda,47,1:14.556,202.414
14,7,Nick HeidfeldHEI,Sauber Petronas,27,1:14.557,202.411
15,24,Mika SaloSAL,Toyota,54,1:14.672,202.099
16,8,Heinz-Harald FrentzenFRE,Sauber Petronas,64,1:14.796,201.764
17,25,Allan McNishMCN,Toyota,40,1:14.882,201.533
18,22,Alex YoongYOO,Minardi Asiatech,38,1:15.347,200.289
19,23,Mark WebberWEB,Minardi Asiatech,29,1:15.367,200.236
20,17,Pedro de la RosaDLR,Jaguar Cosworth,25,1:15.498,199.888
