Pos,No,Driver,Car,Time,Gap,Laps
1,7,Kimi RäikkönenRAI,Ferrari,1:37.827,,13
2,5,Sebastian VettelVET,Ferrari,1:38.029,+0.202s,12
3,77,Valtteri BottasBOT,Williams Mercedes,1:38.390,+0.563s,23
4,55,Carlos SainzSAI,STR Renault,1:38.447,+0.620s,14
5,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:38.455,+0.628s,17
6,33,Max VerstappenVER,STR Renault,1:38.504,+0.677s,22
7,14,Fernando AlonsoALO,McLaren Honda,1:38.598,+0.771s,18
8,12,Felipe NasrNAS,Sauber Ferrari,1:38.628,+0.801s,17
9,26,Daniil KvyatKVY,Red Bull Racing Renault,1:38.661,+0.834s,17
10,19,Felipe MassaMAS,Williams Mercedes,1:38.790,+0.963s,21
11,11,Sergio PerezPER,Force India Mercedes,1:38.793,+0.966s,15
12,13,Pastor MaldonadoMAL,Lotus Mercedes,1:38.842,+1.015s,23
13,27,Nico HulkenbergHUL,Force India Mercedes,1:39.187,+1.360s,20
14,30,Jolyon PalmerPAL,Lotus Mercedes,1:39.283,+1.456s,31
15,6,Nico RosbergROS,Mercedes,1:39.293,+1.466s,23
16,44,Lewis HamiltonHAM,Mercedes,1:39.532,+1.705s,22
17,9,Marcus EricssonERI,Sauber Ferrari,1:39.534,+1.707s,21
18,28,Will StevensSTE,Marussia Ferrari,1:42.973,+5.146s,12
19,98,Roberto MerhiMER,Marussia Ferrari,1:44.265,+6.438s,15
20,22,Jenson ButtonBUT,McLaren Honda,,,2
