Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,54,17:37:13,1:25.945,222.128
2,7,Kimi RäikkönenRAI,Ferrari,57,17:41:31,1:26.373,221.027
3,44,Lewis HamiltonHAM,Mercedes,50,17:31:16,1:26.444,220.845
4,5,Sebastian VettelVET,Ferrari,53,17:35:35,1:26.469,220.782
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,54,17:37:32,1:26.880,219.737
6,2,Stoffel VandoorneVAN,McLaren Renault,57,17:41:59,1:26.958,219.540
7,14,Fernando AlonsoALO,McLaren Renault,57,17:41:52,1:26.978,219.489
8,77,Valtteri BottasBOT,Mercedes,54,17:37:34,1:27.019,219.386
9,27,Nico HulkenbergHUL,Renault,57,17:41:55,1:27.081,219.230
10,31,Esteban OconOCO,Force India Mercedes,57,17:42:18,1:27.600,217.931
11,11,Sergio PerezPER,Force India Mercedes,51,17:33:20,1:27.633,217.849
12,55,Carlos SainzSAI,Renault,51,17:33:19,1:27.944,217.079
13,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,57,17:43:14,1:28.176,216.507
14,18,Lance StrollSTR,Williams Mercedes,55,17:39:41,1:28.511,215.688
15,16,Charles LeclercLEC,Sauber Ferrari,56,17:41:09,1:28.759,215.085
16,8,Romain GrosjeanGRO,Haas Ferrari,23,16:48:02,1:28.805,214.974
17,20,Kevin MagnussenMAG,Haas Ferrari,21,16:45:03,1:29.534,213.224
18,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,13,16:33:30,1:30.649,210.601
19,9,Marcus EricssonERI,Sauber Ferrari,4,16:19:41,1:32.210,207.036
20,35,Sergey SirotkinSIR,Williams Mercedes,3,16:18:12,1:32.573,206.224
