Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,77,Valtteri BottasBOT,Mercedes,22,18:50:12,1:33.740,207.842
2,44,Lewis HamiltonHAM,Mercedes,51,19:36:17,1:33.953,207.371
3,8,Romain GrosjeanGRO,Haas Ferrari,47,19:31:58,1:34.053,207.151
4,14,Fernando AlonsoALO,McLaren Renault,47,19:31:12,1:34.168,206.898
5,20,Kevin MagnussenMAG,Haas Ferrari,29,19:02:17,1:34.327,206.549
6,7,Kimi RäikkönenRAI,Ferrari,22,18:50:14,1:34.337,206.527
7,5,Sebastian VettelVET,Ferrari,21,18:48:30,1:34.453,206.274
8,35,Sergey SirotkinSIR,Williams Mercedes,42,19:24:12,1:34.563,206.034
9,27,Nico HulkenbergHUL,Renault,50,19:35:54,1:34.667,205.807
10,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,44,19:27:00,1:34.689,205.759
11,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,46,19:29:14,1:34.863,205.382
12,31,Esteban OconOCO,Force India Mercedes,38,19:17:09,1:35.043,204.993
13,16,Charles LeclercLEC,Sauber Ferrari,40,19:20:43,1:35.058,204.961
14,11,Sergio PerezPER,Force India Mercedes,35,19:12:25,1:35.075,204.924
15,9,Marcus EricssonERI,Sauber Ferrari,26,18:57:32,1:35.093,204.885
16,2,Stoffel VandoorneVAN,McLaren Renault,30,19:04:11,1:35.131,204.803
17,18,Lance StrollSTR,Williams Mercedes,32,19:07:58,1:35.266,204.513
18,55,Carlos SainzSAI,Renault,35,19:12:18,1:35.535,203.937
