Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,5,Sebastian VettelVET,Ferrari,54,18:51:36,1:40.867,198.225
2,77,Valtteri BottasBOT,Mercedes,42,18:31:37,1:40.953,198.056
3,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,35,18:19:13,1:41.249,197.477
4,55,Carlos SainzSAI,Renault,54,18:52:44,1:41.351,197.278
5,44,Lewis HamiltonHAM,Mercedes,53,18:49:50,1:41.357,197.267
6,33,Max VerstappenVER,Red Bull Racing TAG Heuer,51,18:46:36,1:41.909,196.198
7,14,Fernando AlonsoALO,McLaren Renault,53,18:51:58,1:42.393,195.271
8,11,Sergio PerezPER,Force India Mercedes,53,18:51:19,1:42.816,194.467
9,20,Kevin MagnussenMAG,Haas Ferrari,53,18:51:56,1:42.822,194.456
10,16,Charles LeclercLEC,Sauber Ferrari,54,18:53:01,1:42.876,194.354
11,8,Romain GrosjeanGRO,Haas Ferrari,54,18:53:38,1:43.195,193.753
12,2,Stoffel VandoorneVAN,McLaren Renault,53,18:52:22,1:43.249,193.652
13,31,Esteban OconOCO,Force India Mercedes,41,18:30:48,1:43.591,193.012
14,35,Sergey SirotkinSIR,Williams Mercedes,54,18:54:22,1:43.831,192.566
15,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,42,18:32:42,1:43.988,192.276
16,18,Lance StrollSTR,Williams Mercedes,53,18:52:21,1:44.033,192.192
17,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,53,18:52:19,1:44.174,191.932
18,7,Kimi RäikkönenRAI,Ferrari,5,17:25:45,1:45.198,190.064
19,9,Marcus EricssonERI,Sauber Ferrari,22,17:57:07,1:46.077,188.489
