Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,55,15:47:35,1:35.785,204.871
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,50,15:39:41,1:36.206,203.974
3,7,Kimi RäikkönenRAI,Ferrari,48,15:36:25,1:36.456,203.446
4,44,Lewis HamiltonHAM,Mercedes,20,14:47:07,1:36.878,202.559
5,27,Nico HulkenbergHUL,Renault,56,15:49:33,1:36.881,202.553
6,77,Valtteri BottasBOT,Mercedes,50,15:39:37,1:36.987,202.332
7,14,Fernando AlonsoALO,McLaren Renault,56,15:49:42,1:37.234,201.818
8,8,Romain GrosjeanGRO,Haas Ferrari,51,15:42:08,1:37.410,201.453
9,5,Sebastian VettelVET,Ferrari,24,14:53:29,1:37.479,201.311
10,11,Sergio PerezPER,Force India Mercedes,54,15:46:37,1:37.673,200.911
11,55,Carlos SainzSAI,Renault,54,15:46:30,1:37.754,200.744
12,31,Esteban OconOCO,Force India Mercedes,47,15:35:10,1:37.985,200.271
13,2,Stoffel VandoorneVAN,McLaren Renault,54,15:46:44,1:38.137,199.961
14,20,Kevin MagnussenMAG,Haas Ferrari,54,15:46:34,1:38.152,199.930
15,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,54,15:46:50,1:38.367,199.493
16,9,Marcus EricssonERI,Sauber Ferrari,52,15:43:39,1:38.386,199.455
17,18,Lance StrollSTR,Williams Mercedes,54,15:46:49,1:38.500,199.224
18,35,Sergey SirotkinSIR,Williams Mercedes,47,15:35:20,1:38.624,198.973
19,16,Charles LeclercLEC,Sauber Ferrari,23,14:53:07,1:38.808,198.603
20,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,50,15:40:35,1:39.376,197.468
