Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,30,15:58:09,1:22.497,252.794
2,5,Sebastian VettelVET,Ferrari,51,16:27:54,1:22.505,252.770
3,77,Valtteri BottasBOT,Mercedes,39,16:11:03,1:22.907,251.544
4,7,Kimi RäikkönenRAI,Ferrari,28,15:55:17,1:23.515,249.713
5,11,Sergio PerezPER,Force India Mercedes,43,16:17:21,1:23.529,249.671
6,33,Max VerstappenVER,Red Bull Racing TAG Heuer,41,16:13:49,1:23.609,249.432
7,9,Marcus EricssonERI,Sauber Ferrari,44,16:19:40,1:23.768,248.959
8,35,Sergey SirotkinSIR,Williams Mercedes,52,16:30:30,1:23.768,248.959
9,55,Carlos SainzSAI,Renault,52,16:30:17,1:24.056,248.106
10,27,Nico HulkenbergHUL,Renault,47,16:23:44,1:24.059,248.097
11,31,Esteban OconOCO,Force India Mercedes,44,16:18:42,1:24.179,247.743
12,8,Romain GrosjeanGRO,Haas Ferrari,48,16:24:18,1:24.243,247.555
13,16,Charles LeclercLEC,Sauber Ferrari,52,16:30:36,1:24.504,246.790
14,18,Lance StrollSTR,Williams Mercedes,39,16:11:59,1:24.580,246.568
15,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,46,16:22:19,1:24.767,246.024
16,2,Stoffel VandoorneVAN,McLaren Renault,47,16:23:41,1:24.772,246.010
17,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,18,15:41:30,1:25.229,244.691
18,20,Kevin MagnussenMAG,Haas Ferrari,46,16:23:07,1:25.692,243.369
19,14,Fernando AlonsoALO,McLaren Renault,6,15:24:11,1:27.009,239.685
