Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,77,Valtteri BottasBOT,Mercedes,65,16:33:47,1:10.540,219.909
2,5,Sebastian VettelVET,Ferrari,71,16:40:59,1:10.831,219.005
3,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,62,16:29:49,1:11.343,217.434
4,33,Max VerstappenVER,Red Bull Racing TAG Heuer,61,16:28:33,1:11.578,216.720
5,18,Lance StrollSTR,Williams Mercedes,68,16:39:54,1:11.751,216.197
6,7,Kimi RäikkönenRAI,Ferrari,64,16:32:11,1:11.769,216.143
7,44,Lewis HamiltonHAM,Mercedes,70,16:39:20,1:11.795,216.065
8,16,Charles LeclercLEC,Sauber Ferrari,70,16:40:03,1:12.082,215.204
9,55,Carlos SainzSAI,Renault,50,16:16:48,1:12.169,214.945
10,20,Kevin MagnussenMAG,Haas Ferrari,67,16:36:33,1:12.206,214.835
11,31,Esteban OconOCO,Force India Mercedes,70,16:41:38,1:12.352,214.401
12,8,Romain GrosjeanGRO,Haas Ferrari,71,16:41:23,1:12.362,214.372
13,11,Sergio PerezPER,Force India Mercedes,58,16:25:57,1:12.472,214.046
14,14,Fernando AlonsoALO,McLaren Renault,57,16:25:58,1:12.643,213.542
15,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,53,16:20:25,1:12.949,212.647
16,2,Stoffel VandoorneVAN,McLaren Renault,68,16:39:11,1:12.968,212.591
17,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,55,16:22:46,1:13.822,210.132
18,27,Nico HulkenbergHUL,Renault,30,15:51:17,1:14.029,209.544
19,35,Sergey SirotkinSIR,Williams Mercedes,52,16:19:23,1:14.262,208.887
20,9,Marcus EricssonERI,Sauber Ferrari,3,15:17:18,1:15.281,206.059
