Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,7,Kimi RäikkönenRAI,Ferrari,71,16:34:41,1:06.957,232.160
2,5,Sebastian VettelVET,Ferrari,67,16:30:13,1:07.082,231.728
3,44,Lewis HamiltonHAM,Mercedes,58,16:20:26,1:07.241,231.180
4,33,Max VerstappenVER,Red Bull Racing TAG Heuer,70,16:33:31,1:07.442,230.491
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,46,16:06:48,1:07.591,229.983
6,9,Marcus EricssonERI,Sauber Ferrari,67,16:32:04,1:08.216,227.876
7,20,Kevin MagnussenMAG,Haas Ferrari,70,16:35:02,1:08.476,227.010
8,11,Sergio PerezPER,Force India Mercedes,66,16:30:30,1:08.504,226.918
9,14,Fernando AlonsoALO,McLaren Renault,69,16:34:20,1:08.661,226.399
10,55,Carlos SainzSAI,Renault,37,15:57:27,1:08.766,226.053
11,31,Esteban OconOCO,Force India Mercedes,64,16:28:16,1:08.850,225.777
12,2,Stoffel VandoorneVAN,McLaren Renault,63,16:28:58,1:08.894,225.633
13,35,Sergey SirotkinSIR,Williams Mercedes,64,16:29:27,1:08.971,225.381
14,16,Charles LeclercLEC,Sauber Ferrari,68,16:33:15,1:09.006,225.267
15,77,Valtteri BottasBOT,Mercedes,12,15:26:40,1:09.044,225.143
16,8,Romain GrosjeanGRO,Haas Ferrari,17,15:33:30,1:09.071,225.055
17,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,42,16:02:57,1:09.171,224.730
18,18,Lance StrollSTR,Williams Mercedes,68,16:33:58,1:09.203,224.626
19,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,38,15:58:15,1:09.295,224.327
20,27,Nico HulkenbergHUL,Renault,7,15:21:07,1:10.380,220.869
