Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,40,14:21:42,1:37.392,203.782
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,45,14:29:49,1:38.246,202.011
3,5,Sebastian VettelVET,Ferrari,41,14:23:27,1:38.280,201.941
4,77,Valtteri BottasBOT,Mercedes,46,14:31:40,1:38.470,201.551
5,7,Kimi RäikkönenRAI,Ferrari,45,14:29:47,1:38.482,201.527
6,20,Kevin MagnussenMAG,Haas Ferrari,32,14:09:28,1:38.963,200.547
7,2,Stoffel VandoorneVAN,McLaren Renault,42,14:26:49,1:39.240,199.987
8,27,Nico HulkenbergHUL,Renault,51,14:41:00,1:39.548,199.369
9,11,Sergio PerezPER,Force India Mercedes,36,14:16:11,1:39.569,199.327
10,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,38,14:20:14,1:39.646,199.173
11,55,Carlos SainzSAI,Renault,45,14:31:06,1:39.858,198.750
12,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,52,14:43:26,1:39.915,198.636
13,31,Esteban OconOCO,Force India Mercedes,45,14:31:09,1:39.992,198.483
14,9,Marcus EricssonERI,Sauber Ferrari,33,14:11:29,1:40.098,198.273
15,18,Lance StrollSTR,Williams Mercedes,49,14:39:51,1:40.433,197.612
16,35,Sergey SirotkinSIR,Williams Mercedes,12,13:35:20,1:40.522,197.437
17,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,5,13:22:07,1:40.933,196.633
18,16,Charles LeclercLEC,Sauber Ferrari,12,13:35:44,1:41.982,194.610
