Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,77,Valtteri BottasBOT,Mercedes,65,14:44:54,1:18.741,196.776
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,66,14:44:46,1:19.186,195.670
3,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,57,14:32:09,1:19.462,194.991
4,5,Sebastian VettelVET,Ferrari,49,14:21:24,1:19.522,194.844
5,7,Kimi RäikkönenRAI,Ferrari,19,13:40:00,1:20.334,192.874
6,16,Charles LeclercLEC,Sauber Ferrari,67,14:49:16,1:20.537,192.388
7,27,Nico HulkenbergHUL,Renault,67,14:49:05,1:20.637,192.150
8,44,Lewis HamiltonHAM,Mercedes,49,14:21:46,1:20.728,191.933
9,8,Romain GrosjeanGRO,Haas Ferrari,46,14:19:51,1:21.370,190.419
10,20,Kevin MagnussenMAG,Haas Ferrari,45,14:18:20,1:21.874,189.246
11,2,Stoffel VandoorneVAN,McLaren Renault,14,13:33:30,1:21.921,189.138
12,55,Carlos SainzSAI,Renault,6,13:21:41,1:22.386,188.070
13,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,26,13:50:44,1:22.438,187.952
14,9,Marcus EricssonERI,Sauber Ferrari,18,13:39:25,1:22.440,187.947
15,31,Esteban OconOCO,Force India Mercedes,6,13:22:11,1:22.629,187.517
16,35,Sergey SirotkinSIR,Williams Mercedes,66,14:48:30,1:22.640,187.492
17,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,69,14:52:31,1:22.755,187.232
18,18,Lance StrollSTR,Williams Mercedes,27,13:52:08,1:22.983,186.717
19,11,Sergio PerezPER,Force India Mercedes,6,13:21:49,1:23.545,185.461
20,14,Fernando AlonsoALO,McLaren Renault,3,13:17:22,1:24.197,184.025
