Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,33,Max VerstappenVER,Red Bull Racing TAG Heuer,60,16:32:17,1:14.260,161.772
2,8,Romain GrosjeanGRO,Haas Ferrari,74,16:52:13,1:14.822,160.557
3,18,Lance StrollSTR,Williams Mercedes,61,16:36:16,1:14.944,160.295
4,35,Sergey SirotkinSIR,Williams Mercedes,75,16:54:02,1:15.325,159.484
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,13,15:29:35,1:15.562,158.984
6,27,Nico HulkenbergHUL,Renault,57,16:28:20,1:16.061,157.941
7,5,Sebastian VettelVET,Ferrari,14,15:30:53,1:16.065,157.933
8,44,Lewis HamiltonHAM,Mercedes,15,15:32:34,1:16.270,157.508
9,77,Valtteri BottasBOT,Mercedes,21,15:40:34,1:16.312,157.422
10,7,Kimi RäikkönenRAI,Ferrari,13,15:29:43,1:16.392,157.257
11,2,Stoffel VandoorneVAN,McLaren Renault,76,16:54:24,1:16.864,156.291
12,9,Marcus EricssonERI,Sauber Ferrari,19,15:38:36,1:16.936,156.145
13,14,Fernando AlonsoALO,McLaren Renault,23,15:43:34,1:17.018,155.979
14,31,Esteban OconOCO,Force India Mercedes,63,16:35:57,1:17.027,155.960
15,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,68,16:42:27,1:17.099,155.815
16,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,15,15:33:15,1:17.172,155.667
17,20,Kevin MagnussenMAG,Haas Ferrari,20,15:39:56,1:17.476,155.057
18,55,Carlos SainzSAI,Renault,19,15:38:24,1:17.491,155.027
19,11,Sergio PerezPER,Force India Mercedes,24,15:45:06,1:17.546,154.917
20,16,Charles LeclercLEC,Sauber Ferrari,17,15:35:52,1:17.710,154.590
