Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,20,Kevin MagnussenMAG,Haas Ferrari,50,21:48:46,1:41.905,178.860
2,44,Lewis HamiltonHAM,Mercedes,56,21:56:07,1:42.913,177.108
3,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,59,22:02:07,1:43.120,176.753
4,14,Fernando AlonsoALO,McLaren Renault,57,21:59:26,1:43.164,176.677
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,54,21:52:44,1:43.345,176.368
6,5,Sebastian VettelVET,Ferrari,48,21:42:27,1:44.669,174.137
7,7,Kimi RäikkönenRAI,Ferrari,46,21:39:04,1:44.715,174.061
8,77,Valtteri BottasBOT,Mercedes,42,21:31:59,1:44.720,174.052
9,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,38,21:26:58,1:44.889,173.772
10,9,Marcus EricssonERI,Sauber Ferrari,50,21:47:57,1:45.169,173.309
11,16,Charles LeclercLEC,Sauber Ferrari,57,22:00:03,1:45.203,173.253
12,55,Carlos SainzSAI,Renault,50,21:47:23,1:45.211,173.240
13,11,Sergio PerezPER,Force India Mercedes,48,21:45:06,1:45.389,172.947
14,2,Stoffel VandoorneVAN,McLaren Renault,50,21:48:02,1:45.555,172.675
15,35,Sergey SirotkinSIR,Williams Mercedes,48,21:45:43,1:45.902,172.110
16,8,Romain GrosjeanGRO,Haas Ferrari,57,22:00:34,1:45.904,172.106
17,18,Lance StrollSTR,Williams Mercedes,53,21:53:36,1:46.033,171.897
18,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,56,21:58:50,1:46.063,171.848
19,27,Nico HulkenbergHUL,Renault,53,21:53:09,1:46.093,171.800
