Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,33,Max VerstappenVER,Red Bull Racing TAG Heuer,65,15:37:53,1:13.864,212.547
2,5,Sebastian VettelVET,Ferrari,57,15:27:47,1:13.964,212.260
3,77,Valtteri BottasBOT,Mercedes,51,15:20:25,1:13.992,212.179
4,7,Kimi RäikkönenRAI,Ferrari,59,15:30:42,1:14.075,211.941
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,59,15:30:36,1:14.159,211.701
6,44,Lewis HamiltonHAM,Mercedes,66,15:39:19,1:14.183,211.633
7,11,Sergio PerezPER,Force India Mercedes,64,15:38:29,1:15.100,209.049
8,20,Kevin MagnussenMAG,Haas Ferrari,65,15:39:42,1:15.401,208.214
9,8,Romain GrosjeanGRO,Haas Ferrari,56,15:28:17,1:15.470,208.024
10,16,Charles LeclercLEC,Sauber Ferrari,65,15:39:34,1:15.480,207.996
11,27,Nico HulkenbergHUL,Renault,64,15:38:02,1:15.588,207.699
12,31,Esteban OconOCO,Force India Mercedes,61,15:34:17,1:15.610,207.639
13,55,Carlos SainzSAI,Renault,61,15:34:16,1:15.666,207.485
14,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,67,15:42:12,1:15.699,207.395
15,2,Stoffel VandoorneVAN,McLaren Renault,55,15:27:39,1:15.765,207.214
16,35,Sergey SirotkinSIR,Williams Mercedes,53,15:25:09,1:15.924,206.780
17,14,Fernando AlonsoALO,McLaren Renault,33,14:58:44,1:16.180,206.085
18,9,Marcus EricssonERI,Sauber Ferrari,62,15:36:27,1:16.403,205.484
