Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,66,16:44:17,1:15.545,217.968
2,77,Valtteri BottasBOT,Mercedes,65,16:43:05,1:15.721,217.461
3,33,Max VerstappenVER,Red Bull Racing TAG Heuer,66,16:44:25,1:15.852,217.085
4,7,Kimi RäikkönenRAI,Ferrari,64,16:41:51,1:15.990,216.691
5,8,Romain GrosjeanGRO,Haas Ferrari,66,16:44:45,1:16.716,214.641
6,5,Sebastian VettelVET,Ferrari,39,16:04:17,1:17.290,213.046
7,55,Carlos SainzSAI,Renault,63,16:40:54,1:17.430,212.661
8,2,Stoffel VandoorneVAN,McLaren Renault,67,16:46:20,1:17.537,212.368
9,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,66,16:44:49,1:17.681,211.974
10,20,Kevin MagnussenMAG,Haas Ferrari,66,16:44:50,1:17.697,211.930
11,14,Fernando AlonsoALO,McLaren Renault,60,16:38:19,1:17.741,211.811
12,9,Marcus EricssonERI,Sauber Ferrari,65,16:43:29,1:17.745,211.800
13,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,66,16:46:12,1:17.762,211.753
14,16,Charles LeclercLEC,Sauber Ferrari,64,16:43:37,1:17.852,211.509
15,11,Sergio PerezPER,Force India Mercedes,66,16:44:44,1:17.867,211.468
16,27,Nico HulkenbergHUL,Renault,66,16:44:41,1:17.910,211.351
17,31,Esteban OconOCO,Force India Mercedes,64,16:42:10,1:17.941,211.267
18,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,22,15:42:38,1:18.262,210.400
19,18,Lance StrollSTR,Williams Mercedes,35,16:00:41,1:18.861,208.802
20,35,Sergey SirotkinSIR,Williams Mercedes,36,16:02:04,1:18.934,208.609
