Pos,No,Driver,Car,Time
1,11,Jody ScheckterSCH,Ferrari,1:26.450
2,12,Gilles VilleneuveVIL,Ferrari,1:26.520
3,25,Patrick DepaillerDEP,Ligier Ford,1:27.110
4,5,Niki LaudaLAU,Brabham Ford,1:27.210
5,26,Jacques LaffiteLAF,Ligier Ford,1:27.260
6,4,Jean-Pierre JarierJAR,Tyrrell Ford,1:27.420
7,3,Didier PironiPIR,Tyrrell Ford,1:27.420
8,30,Jochen MassMAS,Arrows Ford,1:27.470
9,27,Alan  JonesJON,Williams Ford,1:27.670
10,20,James HuntHUN,Wolf Ford,1:27.960
11,2,Carlos ReutemannREU,Lotus Ford,1:27.990
12,9,Hans-Joachim StuckSTU,ATS Ford,1:28.220
13,1,Mario AndrettiAND,Lotus Ford,1:28.230
14,7,John WatsonWAT,McLaren Ford,1:28.230
15,29,Riccardo PatresePAT,Arrows Ford,1:28.300
16,28,Clay RegazzoniREG,Williams Ford,1:28.480
17,14,Emerson FittipaldiFIT,Fittipaldi Ford,1:28.490
18,6,Nelson PiquetPIQ,Brabham Ford,1:28.520
19,16,Rene ArnouxARN,Renault,1:28.570
20,15,Jean-Pierre JabouilleJAB,Renault,1:28.680
