Pos,No,Driver,Car,Time
1,12,Gilles VilleneuveVIL,Ferrari,1:18.825
2,2,Carlos ReutemannREU,Lotus Ford,1:18.886
3,11,Jody ScheckterSCH,Ferrari,1:18.911
4,25,Patrick DepaillerDEP,Ligier Ford,1:19.025
5,26,Jacques LaffiteLAF,Ligier Ford,1:19.032
6,1,Mario AndrettiAND,Lotus Ford,1:19.454
7,4,Jean-Pierre JarierJAR,Tyrrell Ford,1:19.580
8,20,James HuntHUN,Wolf Ford,1:19.643
9,29,Riccardo PatresePAT,Arrows Ford,1:19.727
10,27,Alan  JonesJON,Williams Ford,1:19.910
11,5,Niki LaudaLAU,Brabham Ford,1:20.041
12,6,Nelson PiquetPIQ,Brabham Ford,1:20.456
13,30,Jochen MassMAS,Arrows Ford,1:20.608
14,17,Jan LammersLAM,Shadow Ford,1:20.740
15,28,Clay RegazzoniREG,Williams Ford,1:20.768
16,14,Emerson FittipaldiFIT,Fittipaldi Ford,1:21.033
17,3,Didier PironiPIR,Tyrrell Ford,1:21.192
18,7,John WatsonWAT,McLaren Ford,1:21.304
19,8,Patrick TambayTAM,McLaren Ford,1:21.411
20,18,Elio de AngelisDEA,Shadow Ford,1:21.961
21,9,Hans-Joachim StuckSTU,ATS Ford,1:22.828
22,24,Arturo MerzarioMER,Merzario Ford,1:22.938
23,31,Hector RebaqueREB,Lotus Ford,1:22.990
24,22,Derek DalyDAL,Ensign Ford,1:23.888
