Pos,No,Driver,Car,Time
1,15,Jean-Pierre JabouilleJAB,Renault,1:11.800
2,11,Jody ScheckterSCH,Ferrari,1:12.040
3,12,Gilles VilleneuveVIL,Ferrari,1:12.070
4,5,Niki LaudaLAU,Brabham Ford,1:12.120
5,25,Patrick DepaillerDEP,Ligier Ford,1:12.150
6,26,Jacques LaffiteLAF,Ligier Ford,1:12.260
7,3,Didier PironiPIR,Tyrrell Ford,1:12.330
8,1,Mario AndrettiAND,Lotus Ford,1:12.360
9,4,Jean-Pierre JarierJAR,Tyrrell Ford,1:12.550
10,16,Rene ArnouxARN,Renault,1:12.690
11,2,Carlos ReutemannREU,Lotus Ford,1:12.750
12,6,Nelson PiquetPIQ,Brabham Ford,1:13.070
13,20,James HuntHUN,Wolf Ford,1:14.210
14,7,John WatsonWAT,McLaren Ford,1:14.440
15,18,Elio de AngelisDEA,Shadow Ford,1:14.440
16,29,Riccardo PatresePAT,Arrows Ford,1:14.540
17,8,Patrick TambayTAM,McLaren Ford,1:14.580
18,14,Emerson FittipaldiFIT,Fittipaldi Ford,1:14.610
19,27,Alan  JonesJON,Williams Ford,1:14.640
20,30,Jochen MassMAS,Arrows Ford,1:15.000
21,17,Jan LammersLAM,Shadow Ford,1:15.350
22,28,Clay RegazzoniREG,Williams Ford,1:15.680
23,31,Hector RebaqueREB,Lotus Ford,1:16.150
24,9,Hans-Joachim StuckSTU,ATS Ford,1:16.310
