Pos,No,Driver,Car,Time
1,26,Jacques LaffiteLAF,Ligier Ford,1:44.200
2,25,Patrick DepaillerDEP,Ligier Ford,1:45.240
3,2,Carlos ReutemannREU,Lotus Ford,1:45.340
4,4,Jean-Pierre JarierJAR,Tyrrell Ford,1:45.360
5,11,Jody ScheckterSCH,Ferrari,1:45.580
6,7,John WatsonWAT,McLaren Ford,1:45.760
7,1,Mario AndrettiAND,Lotus Ford,1:45.960
8,3,Didier PironiPIR,Tyrrell Ford,1:46.430
9,8,Patrick TambayTAM,McLaren Ford,1:46.560
10,12,Gilles VilleneuveVIL,Ferrari,1:46.880
11,14,Emerson FittipaldiFIT,Fittipaldi Ford,1:47.150
12,15,Jean-Pierre JabouilleJAB,Renault,1:47.460
14,30,Jochen MassMAS,Arrows Ford,1:48.340
15,27,Alan  JonesJON,Williams Ford,1:48.440
16,18,Elio de AngelisDEA,Shadow Ford,1:48.510
17,28,Clay RegazzoniREG,Williams Ford,1:48.640
18,20,James HuntHUN,Wolf Ford,1:48.770
19,31,Hector RebaqueREB,Lotus Ford,1:49.360
20,6,Nelson PiquetPIQ,Brabham Ford,1:49.490
21,17,Jan LammersLAM,Shadow Ford,1:49.510
22,24,Arturo MerzarioMER,Merzario Ford,1:50.260
23,5,Niki LaudaLAU,Brabham Ford,1:50.290
24,22,Derek DalyDAL,Ensign Ford,1:51.050
25,16,Rene ArnouxARN,Renault,1:51.520
