Pos,No,Driver,Car,Time
1,27,Alan  JonesJON,Williams Ford,1:35.615
2,6,Nelson PiquetPIQ,Brabham Ford,1:36.914
3,12,Gilles VilleneuveVIL,Ferrari,1:36.948
4,26,Jacques LaffiteLAF,Ligier Ford,1:37.066
5,28,Clay RegazzoniREG,Williams Ford,1:37.128
6,2,Carlos ReutemannREU,Lotus Ford,1:37.872
7,16,Rene ArnouxARN,Renault,1:38.195
8,15,Jean-Pierre JabouilleJAB,Renault,1:38.218
9,5,Ricardo ZuninoZUN,Brabham Ford,1:38.509
10,3,Didier PironiPIR,Tyrrell Ford,1:38.823
11,4,Jean-Pierre JarierJAR,Tyrrell Ford,1:38.945
12,20,Keke RosbergROS,Wolf Ford,1:39.035
13,7,John WatsonWAT,McLaren Ford,1:39.233
14,9,Hans-Joachim StuckSTU,ATS Ford,1:39.329
15,4,Derek DalyDAL,Tyrrell Ford,1:39.468
16,11,Jody ScheckterSCH,Ferrari,1:39.576
17,1,Mario AndrettiAND,Lotus Ford,1:40.144
18,35,Bruno GiacomelliGIA,Alfa Romeo,1:40.277
19,29,Riccardo PatresePAT,Arrows Ford,1:40.337
20,18,Elio de AngelisDEA,Shadow Ford,1:40.625
21,22,Marc SurerSUR,Ensign Ford,1:40.635
22,8,Patrick TambayTAM,McLaren Ford,1:40.731
23,14,Emerson FittipaldiFIT,Fittipaldi Ford,1:40.741
24,25,Jacky IckxICK,Ligier Ford,1:40.745
