Pos,No,Driver,Car,Time
1,12,Mario AndrettiAND,Lotus Ford,1:04.200
2,15,Jackie StewartSTE,Matra Ford,1:04.270
3,10,Graham HillHIL,Lotus Ford,1:04.280
4,6,Chris AmonAMO,Ferrari,1:04.370
5,1,Denny HulmeHUL,McLaren Ford,1:04.570
6,4,Jochen RindtRIN,Brabham Climax,1:04.810
7,14,Dan GurneyGUR,McLaren Ford,1:05.220
8,3,Jack BrabhamBRA,Brabham Climax,1:05.250
9,5,John SurteesSUR,Honda,1:05.320
10,2,Bruce McLarenMCL,McLaren Ford,1:05.690
11,8,Pedro RodriguezROD,BRM,1:06.100
12,16,Jo SiffertSIF,Cooper Maserati,1:06.170
13,21,Jean-Pierre BeltoiseBEL,Matra Ford,1:06.960
14,22,Piers   CourageCOU,BRM,1:07.020
15,7,Derek BellBEL,Ferrari,1:07.060
16,11,Jackie OliverOLI,Lotus Ford,1:07.460
17,18,Vic  Elford ELF,Cooper BRM,1:08.530
18,17,Jo BonnierBON,Honda,1:08.930
19,9,Bobby   UnserUNS,BRM,1:09.600
20,19,Lucien BianchiBIA,Cooper BRM,1:09.770
