Pos,No,Driver,Car,Time,Gap,Laps
1,7,Mika HakkinenHAK,McLaren Mercedes,1:24.051,,23
2,5,Damon HillHIL,Williams Renault,1:24.178,+0.127s,30
3,4,Gerhard BergerBER,Benetton Renault,1:24.772,+0.721s,29
4,1,Michael SchumacherMSC,Ferrari,1:24.785,+0.734s,24
5,6,Jacques VilleneuveVIL,Williams Renault,1:24.794,+0.743s,20
6,3,Jean AlesiALE,Benetton Renault,1:24.992,+0.941s,27
7,8,David CoulthardCOU,McLaren Mercedes,1:25.125,+1.074s,23
8,2,Eddie IrvineIRV,Ferrari,1:25.500,+1.449s,19
9,12,Martin BrundleBRU,Jordan Peugeot,1:25.641,+1.590s,28
10,11,Rubens BarrichelloBAR,Jordan Peugeot,1:25.740,+1.689s,23
11,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:25.954,+1.903s,28
12,10,Pedro DinizDIN,Ligier Mugen Honda,1:26.015,+1.964s,30
13,14,Johnny HerbertHER,Sauber Ford,1:26.024,+1.973s,28
14,9,Olivier PanisPAN,Ligier Mugen Honda,1:26.106,+2.055s,28
15,19,Mika SaloSAL,Tyrrell Yamaha,1:27.060,+3.009s,29
16,17,Jos VerstappenVER,Footwork Hart,1:27.358,+3.307s,17
17,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:27.428,+3.377s,30
18,20,Pedro LamyLAM,Minardi Ford,1:28.664,+4.613s,29
19,16,Ricardo RossetROS,Footwork Hart,1:28.971,+4.920s,26
20,21,Giovanni LavaggiLAV,Minardi Ford,1:29.544,+5.493s,30
