Pos,No,Driver,Car,Time,Gap,Laps
1,1,Michael SchumacherMSC,Ferrari,1:30.018,,19
2,5,Damon HillHIL,Williams Renault,1:30.384,+0.366s,19
3,7,Mika HakkinenHAK,McLaren Mercedes,1:31.135,+1.117s,20
4,17,Jos VerstappenVER,Footwork Hart,1:31.158,+1.140s,18
5,11,Rubens BarrichelloBAR,Jordan Peugeot,1:31.196,+1.178s,23
6,3,Jean AlesiALE,Benetton Renault,1:31.196,+1.178s,17
7,2,Eddie IrvineIRV,Ferrari,1:31.461,+1.443s,18
8,15,Heinz-Harald FrentzenFRE,Sauber Ford,1:31.871,+1.853s,23
9,8,David CoulthardCOU,McLaren Mercedes,1:31.879,+1.861s,19
10,6,Jacques VilleneuveVIL,Williams Renault,1:31.983,+1.965s,13
11,12,Martin BrundleBRU,Jordan Peugeot,1:32.316,+2.298s,23
12,19,Mika SaloSAL,Tyrrell Yamaha,1:32.404,+2.386s,12
13,20,Pedro LamyLAM,Minardi Ford,1:32.454,+2.436s,23
14,4,Gerhard BergerBER,Benetton Renault,1:32.542,+2.524s,22
15,14,Johnny HerbertHER,Sauber Ford,1:32.770,+2.752s,19
16,9,Olivier PanisPAN,Ligier Mugen Honda,1:33.235,+3.217s,9
17,18,Ukyo KatayamaKAT,Tyrrell Yamaha,1:33.507,+3.489s,17
18,21,Tarso MarquesMAR,Minardi Ford,1:33.815,+3.797s,23
19,16,Ricardo RossetROS,Footwork Hart,1:33.975,+3.957s,25
20,10,Pedro DinizDIN,Ligier Mugen Honda,1:34.891,+4.873s,22
21,22,Luca BadoerBAD,Forti Ford,1:35.187,+5.169s,24
22,23,Andrea MonterminiMON,Forti Ford,1:35.515,+5.497s,23
