Pos,No,Driver,Car,Time
1,1,Michael SchumacherMSC,Ferrari,1:30.139
2,2,Rubens BarrichelloBAR,Ferrari,1:30.530
3,3,Juan Pablo MontoyaMOY,Williams BMW,1:30.581
4,4,Ralf SchumacherRSC,Williams BMW,1:30.633
5,10,Takuma SatoSAT,BAR Honda,1:30.827
6,9,Jenson ButtonBUT,BAR Honda,1:30.856
7,7,Jarno TrulliTRU,Renault,1:30.971
8,17,Olivier PanisPAN,Toyota,1:31.686
9,16,Cristiano da MattaDAM,Toyota,1:31.717
10,5,David CoulthardCOU,McLaren Mercedes,1:31.719
11,11,Giancarlo FisichellaFIS,Sauber Petronas,1:31.731
12,15,Christian KlienKLI,Jaguar Cosworth,1:32.332
13,12,Felipe MassaMAS,Sauber Petronas,1:32.536
14,14,Mark WebberWEB,Jaguar Cosworth,1:32.625
15,19,Giorgio PantanoPAN,Jordan Ford,1:34.105
16,8,Fernando AlonsoALO,Renault,1:34.130
17,20,Gianmaria BruniBRU,Minardi Cosworth,1:34.584
18,18,Nick HeidfeldHEI,Jordan Ford,1:33.506
19,6,Kimi RäikkönenRAI,McLaren Mercedes,
20,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:35.787
