Pos,No,Driver,Car,Time
1,1,Michael SchumacherMSC,Ferrari,1:24.408
2,2,Rubens BarrichelloBAR,Ferrari,1:24.482
3,3,Juan Pablo MontoyaMOY,Williams BMW,1:24.998
4,9,Jenson ButtonBUT,BAR Honda,1:24.998
5,8,Fernando AlonsoALO,Renault,1:25.699
6,14,Mark WebberWEB,Jaguar Cosworth,1:25.805
7,10,Takuma SatoSAT,BAR Honda,1:25.851
8,4,Ralf SchumacherRSC,Williams BMW,1:25.925
9,7,Jarno TrulliTRU,Renault,1:26.290
10,6,Kimi RäikkönenRAI,McLaren Mercedes,1:26.297
11,12,Felipe MassaMAS,Sauber Petronas,1:27.065
12,5,David CoulthardCOU,McLaren Mercedes,1:27.294
13,16,Cristiano da MattaDAM,Toyota,1:27.823
14,11,Giancarlo FisichellaFIS,Sauber Petronas,1:27.845
15,18,Nick HeidfeldHEI,Jordan Ford,1:28.178
16,19,Giorgio PantanoPAN,Jordan Ford,1:30.140
17,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:30.681
18,17,Olivier PanisPAN,Toyota,
19,15,Christian KlienKLI,Jaguar Cosworth,
20,20,Gianmaria BruniBRU,Minardi Cosworth,
