Pos,No,Driver,Car,Time
1,1,Michael SchumacherMSC,Ferrari,1:33.542
2,4,Ralf SchumacherRSC,Williams BMW,1:34.032
3,14,Mark WebberWEB,Jaguar Cosworth,1:34.571
4,10,Takuma SatoSAT,BAR Honda,1:34.897
5,9,Jenson ButtonBUT,BAR Honda,1:35.157
6,16,Jarno TrulliTRU,Toyota,1:35.213
7,11,Giancarlo FisichellaFIS,Sauber Petronas,1:36.136
8,5,David CoulthardCOU,McLaren Mercedes,1:36.156
9,7,Jacques VilleneuveVIL,Renault,1:36.274
10,17,Olivier PanisPAN,Toyota,1:36.420
11,8,Fernando AlonsoALO,Renault,1:36.663
12,6,Kimi RäikkönenRAI,McLaren Mercedes,1:36.820
13,3,Juan Pablo MontoyaMOY,Williams BMW,1:37.653
14,15,Christian KlienKLI,Jaguar Cosworth,1:38.258
15,2,Rubens BarrichelloBAR,Ferrari,1:38.637
16,18,Nick HeidfeldHEI,Jordan Ford,1:41.953
17,19,Timo GlockGLO,Jordan Ford,1:43.533
18,20,Gianmaria BruniBRU,Minardi Cosworth,1:48.069
19,12,Felipe MassaMAS,Sauber Petronas,
20,21,Zsolt BaumgartnerBAU,Minardi Cosworth,
