Pos,No,Driver,Car,Time
1,9,Jenson ButtonBUT,BAR Honda,1:19.753
2,1,Michael SchumacherMSC,Ferrari,1:20.011
3,3,Juan Pablo MontoyaMOY,Williams BMW,1:20.212
4,2,Rubens BarrichelloBAR,Ferrari,1:20.451
5,4,Ralf SchumacherRSC,Williams BMW,1:20.538
6,8,Fernando AlonsoALO,Renault,1:20.895
7,10,Takuma SatoSAT,BAR Honda,1:20.913
8,14,Mark WebberWEB,Jaguar Cosworth,1:20.921
9,7,Jarno TrulliTRU,Renault,1:21.034
10,16,Cristiano da MattaDAM,Toyota,1:21.087
11,5,David CoulthardCOU,McLaren Mercedes,1:21.091
12,12,Felipe MassaMAS,Sauber Petronas,1:21.532
13,17,Olivier PanisPAN,Toyota,1:21.558
14,15,Christian KlienKLI,Jaguar Cosworth,1:21.949
15,19,Giorgio PantanoPAN,Jordan Ford,1:23.352
16,18,Nick HeidfeldHEI,Jordan Ford,1:23.488
17,20,Gianmaria BruniBRU,Minardi Cosworth,1:26.899
18,11,Giancarlo FisichellaFIS,Sauber Petronas,
19,21,Zsolt BaumgartnerBAU,Minardi Cosworth,1:46.299
20,6,Kimi RäikkönenRAI,McLaren Mercedes,
